,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,f13c6acba5d66a4c2d455cf913abda7016fc481f-3f8df6c11b30af151bd42ef957984002207dc7ff,2009-09-29 00:00:00,2009-12-27 23:00:00,8.0,16.0,17,0.483870967741935,3.0,15.0,394.0,79,594,13.0,113,0
1,113dc2ea7b48bb3413f7a62057680e9b1c06826c-22e8aa99af59359ff54bef7dabc43e59b9018908,2009-12-27 23:00:00,2010-03-27 23:00:00,4.0,20.0,24,0.487179487179487,3.0,17.0,827.0,84,1495,14.0,18,0
2,ed22bade0e04c4c0531b22f93c89578b2e4a3c90-6ce17a851093d3c23c75d69d0164b2cc1554175b,2010-03-27 23:00:00,2010-06-26 00:00:00,2.0,6.0,20,0.538461538461538,3.0,13.0,388.0,63,691,11.0,4,0
3,aafc59e0deab56419296c2258d59cb8632174329-1cb2f68f4d4d6542184535c28be78f544d1ff769,2010-06-26 00:00:00,2010-09-24 00:00:00,0.0,8.0,23,0.619047619047619,3.0,14.0,297.0,68,627,13.0,25,0
4,ac6696cacf91faa1211d942943e0c027ad659a8d-3fcc6cb8bf79e98547c655d1beed1d1c53d8401c,2010-09-24 00:00:00,2010-12-22 23:00:00,2.0,7.0,22,0.631578947368421,3.0,15.0,292.0,69,651,13.0,26,0
5,4d990e71466e27f02a8cd5f14a5cce4785865b65-e3c96a31b7b6c123733e784927e55d6d2521d264,2010-12-22 23:00:00,2011-03-22 23:00:00,0.0,11.0,32,0.266666666666667,3.0,13.0,174.0,77,776,11.0,14,0
6,938661d72adddfdbf09761fba95f9168970a323a-d66f254d0a13ff88e0ff8d0e17a4f22ae3e7620d,2011-03-22 23:00:00,2011-06-21 00:00:00,0.0,5.0,35,0.5,3.0,10.0,366.0,69,444,9.0,24,4
7,cff02249cfb176e9b4d8c33e67f4e3a76c4ea369-41aa99bebae616e0a5c2d709280f2b6aeaf1a544,2011-06-21 00:00:00,2011-09-19 00:00:00,0.0,2.0,34,0.333333333333333,3.0,8.0,298.0,61,444,7.0,44,0
8,ccffeee08de08ec04351f9c68b8458b7f2a09724-f2bb4603d377c2ce9fd25976e6df38d32fc96b28,2011-09-19 00:00:00,2011-12-17 23:00:00,0.0,4.0,106,0.428571428571429,3.0,11.0,407.0,124,585,10.0,22,0
9,5200f302f89156985786675f296572b175526246-3c61ed7361e4e63174a79d859039b5375e0ca52f,2011-12-17 23:00:00,2012-03-16 23:00:00,0.0,5.0,79,0.375,3.0,10.0,250.0,98,251,8.0,18,0
10,f5a660135a71c74cafa914c52030609ab40d060f-74751dbe91be4a9ca4a9fad5b872e1eb1633a629,2012-03-16 23:00:00,2012-06-15 00:00:00,0.0,0.0,61,1.0,3.0,8.0,181.0,71,290,6.0,28,0
11,80220deef79f7528815fa08ba4f124cbce7fabae-5984f13cd9049096c06a48826a103966e22735aa,2012-06-15 00:00:00,2012-09-13 00:00:00,0.0,1.0,25,0.5,3.0,8.0,193.0,64,623,6.0,41,0
12,7cc1750eaf46d7fe60612d694f616b9ba486b131-c0d5312521d9708985887b8881ea8b1c82f78b46,2012-09-13 00:00:00,2012-12-11 23:00:00,0.0,1.0,45,0.5,3.0,7.0,286.0,70,473,6.0,5,0
13,0fb06c9c5d377453d6ec88d14c3d7004b06a5ff9-be4bd299d2e8d7c25860971761f83bb03f27d3e6,2012-12-11 23:00:00,2013-03-11 23:00:00,1.0,1.0,35,0.0,3.0,8.0,55.0,61,342,7.0,8,0
14,8e56d56ea736a6edc1c12ba9dc1837d06d854cf4-eee054b8ad17f2d8034d33e18e4770c9bde84d48,2013-03-11 23:00:00,2013-06-10 00:00:00,0.0,0.0,79,1.0,3.0,7.0,61.0,86,538,6.0,3,0
15,ca1e4f5f4a69197a94e3778e3104ce733f2a5c02-1127d0fc81c9e8fd7f38c7f6c95f91e61a2e734c,2013-06-10 00:00:00,2013-09-08 00:00:00,0.0,0.0,42,1.0,3.0,5.0,29.0,45,185,5.0,14,0
16,9083c8d0da2252f693ab7c6fc8a539c0699f91a1-fe43a821d3b641f123f9ba36a2f439e6a5fc1110,2013-09-08 00:00:00,2013-12-06 23:00:00,0.0,0.0,29,1.0,3.0,2.0,7.0,51,170,2.0,0,0
17,e27bfaac6f2dc02e7519bfde7d4c95908fc74569-adeaa8a65a45db453cd7337e33d86b234e71164c,2013-12-06 23:00:00,2014-03-06 23:00:00,1.0,1.0,27,0.0,3.0,4.0,15.0,53,140,3.0,0,0
18,7fe78665690f3cd9158ca3d5bf6ce1643c0090ae-4a741e93d0e7e57e10e1dfcc89dd81f77ce90d61,2014-03-06 23:00:00,2014-06-05 00:00:00,1.0,6.0,49,0.0,3.0,8.0,66.0,81,493,7.0,0,0
19,08f11bc5fc89b39fd41aab3361d747e5b7bfddc8-377db55e0529d9d908270893d3be0b13b64ff792,2014-06-05 00:00:00,2014-09-03 00:00:00,0.0,4.0,36,0.2,3.0,7.0,119.0,66,761,6.0,0,0
20,edda9611e1c3210e2bad352a8663487cd9df0ff4-82323718a7726a8192a0aafb76a6859a153c7d2f,2014-09-03 00:00:00,2014-12-01 23:00:00,0.0,0.0,29,1.0,3.0,6.0,163.0,65,449,5.0,0,0
21,3b154cbeb2abc717ea58d623eca024bfe2733018-59edb79b4371a545d258b6b7e3de280673c861a7,2014-12-01 23:00:00,2015-03-01 23:00:00,1.0,2.0,58,0.0,3.0,7.0,55.0,58,214,5.0,3,0
22,cf47ff180f2102fd80cabcee18dff0f324f17578-bceb7c1a04491d2c68f463569c89a70214536730,2015-03-01 23:00:00,2015-05-31 00:00:00,0.0,0.0,25,1.0,3.0,7.0,150.0,46,154,6.0,1,0
23,208df49f632a5934c40ea6653de04b4af55b8d7a-b3a63ea4a615520e69c622a40a64ed772a1118c2,2015-05-31 00:00:00,2015-08-29 00:00:00,2.0,2.0,35,0.5,3.0,8.0,162.0,78,429,5.0,8,0
24,39c1e95b3f08140c6f801d62c10a3fc153cb5d17-3f663a3e8cdd31ed473b84cdb38be8df2f7977bb,2015-08-29 00:00:00,2015-11-26 23:00:00,2.0,2.0,45,0.6,3.0,7.0,164.0,80,437,5.0,12,0
25,7c7a09173778c4b42d59a05c699870027121b11b-1d7cb06883a7a58f14f9398e0cc5a41837f87c69,2015-11-26 23:00:00,2016-02-24 23:00:00,0.0,0.0,28,1.0,3.0,6.0,95.0,55,274,4.0,12,0
26,96497d4c87b7126af35346f5037472c08f66e6b1-2040874814a2924153547d11010897b528fe374d,2016-02-24 23:00:00,2016-05-25 00:00:00,0.0,1.0,44,0.0,3.0,5.0,101.0,72,383,5.0,0,0
27,066b02cce6af19d166fee9e172a1f129c57f61ed-52cde792afa497d8b6af96a9346ad4c1ec643ebd,2016-05-25 00:00:00,2016-08-23 00:00:00,0.0,1.0,35,0.0,3.0,6.0,133.0,63,281,6.0,1,0
28,473ce79e6a97f155288a1828be5130d3648c3de5-d53da99d3c4e1975b8de80cefe572eed3ae9e367,2016-08-23 00:00:00,2016-11-20 23:00:00,2.0,2.0,43,0.5,3.0,6.0,284.0,86,281,5.0,29,0
29,087fef210a95b41e8fddc3db9f8af329798fa8d5-bcfc24656d15d241ab9eeb8656db27ddd0f8bdae,2016-11-20 23:00:00,2017-02-18 23:00:00,0.0,0.0,38,1.0,3.0,8.0,420.0,73,314,5.0,0,0
30,5020c4da0b655e63908df7d7b5bedf2512d0ab71-20c650bf87f11ab1b1ab8c7e7dcbaf905e9a672f,2017-02-18 23:00:00,2017-05-20 00:00:00,1.0,2.0,41,0.333333333333333,3.0,11.0,189.0,87,315,8.0,4,0
31,95c65f242d1cffc2f38afabbfe32898e4a81309a-84f217ed691e21e34b10e054010a3d280b83e9e3,2017-05-20 00:00:00,2017-08-18 00:00:00,0.0,1.0,23,0.5,3.0,7.0,268.0,47,150,5.0,2,0
32,e43c4937975fc9e5544097dd23dfd1705c1986bf-b88ff515a36d977b4e03615f9f3a208012b6c9bc,2017-08-18 00:00:00,2017-11-15 23:00:00,0.0,0.0,24,1.0,5.0,7.0,156.0,42,134,3.0,0,0
33,694febb1db8e01671888ea2e0cff1a6d9570f68c-05ea6555b8a2b7126d5fc1fbc4fe12b3656e420a,2017-11-15 23:00:00,2018-02-13 23:00:00,0.0,0.0,23,1.0,3.0,6.0,188.0,45,211,2.0,3,0
34,2e7b478187d3726862e794ca86b4dd82b5442ff1-db9cc31ead61225f22111d87355e9052ac782a82,2018-02-13 23:00:00,2018-05-15 00:00:00,0.0,1.0,24,0.0,3.0,5.0,323.0,46,163,4.0,7,0
35,5643e0d0f060fd5358a2068e565c979ec095ef85-0dde32341e41c6d662db94c73ca9726f6845f48a,2018-05-15 00:00:00,2018-08-13 00:00:00,0.0,0.0,24,1.0,3.0,6.0,44.0,55,183,5.0,0,0
36,6dee876c96f007b083e1897b284e77c4994a3e77-be43dbee20fc4dd6302ae03ef2b8e7df6da5f6f9,2018-08-13 00:00:00,2018-11-10 23:00:00,0.0,0.0,21,1.0,3.0,3.0,61.0,50,249,3.0,0,0
37,59b3b8175fb02dbb5a490d7edd22f8b910e5dcdd-b940e189c5822f9a699ce483f9226548d355af55,2018-11-10 23:00:00,2019-02-08 23:00:00,0.0,0.0,23,1.0,5.0,3.0,61.0,51,255,3.0,0,0
38,ecaf81d9756e83e6826d70b363f264b34618a8de-e3e6f0eab93bb1923a09f93bcb45aaf10eb108b1,2019-02-08 23:00:00,2019-05-10 00:00:00,0.0,1.0,22,0.0,5.0,4.0,124.0,40,148,3.0,0,0
39,eaa0eb7272f17bc77f79bbd08391d7101e24061d-6fac8de779ebf2573eddee5da983bdc39e711ae0,2019-05-10 00:00:00,2019-08-08 00:00:00,0.0,0.0,26,1.0,3.0,2.0,58.0,30,93,0.0,0,0
40,0f53ec2bee3b8a99f4733a1c22e875baa49d0cf7-e8477faa3f37b7b1cab61e634137224552978f80,2019-08-08 00:00:00,2019-11-05 23:00:00,1.0,1.0,22,0.0,5.0,4.0,15.0,40,84,2.0,0,0
41,0cc82201ca3252dc419ecade8760ecbbdba3b408-ee16fd21f22624947a991c80503d819424497567,2019-11-05 23:00:00,2020-02-03 23:00:00,1.0,1.0,17,0.0,4.0,3.0,6.0,33,255,1.0,0,0
42,6c66891f2c16c10f721d0f8dd2ba5057e39a1fb2-feb3a576d80de22b6c15af55be5adedc538601e3,2020-02-03 23:00:00,2020-05-04 00:00:00,0.0,0.0,7,1.0,4.0,3.0,12.0,27,69,0.0,0,0
43,b9611fb5ae69ba15595730faae53c8de24d34c2e-f99759ac04854f8adde3c57b0068e3c021305901,2020-05-04 00:00:00,2020-08-02 00:00:00,0.0,0.0,10,1.0,3.0,2.0,19.0,23,101,0.0,0,0
44,cc82cfbf40937054275a82b64561ed3bf6aa2843-eb912a8cc162ce342a143f069f0412422b84f938,2020-08-02 00:00:00,2020-10-30 23:00:00,2.0,2.0,9,0.0,5.0,6.0,7.0,33,166,0.0,0,0
46,b79c449bce2ed372ebdaa4124ba9bde057983be1-a2be80e7b344647a5f0ace5bc741e015a383f13f,2021-01-28 23:00:00,2021-04-29 00:00:00,1.0,1.0,24,0.0,4.0,4.0,15.0,32,213,0.0,0,0
47,6a2cf9c155c3d7bb838a2517aa8687c89012a0bf-cc71c3a47d7bd03fe25aa3ef11f63225531caecb,2021-04-29 00:00:00,2021-07-28 00:00:00,0.0,0.0,10,1.0,2.0,2.0,4.0,26,215,1.0,0,0
48,f8493eb436c47089f438c5ed1ffca5c3d1bbcbee-f8493eb436c47089f438c5ed1ffca5c3d1bbcbee,2021-07-28 00:00:00,2021-10-26 00:00:00,0.0,0.0,9,1.0,2.0,1.0,1.0,24,148,0.0,0,0
49,6dc0e2c783f1642d18d1d637d222af68249afa12-6dc0e2c783f1642d18d1d637d222af68249afa12,2021-10-26 00:00:00,2022-01-23 23:00:00,0.0,0.0,6,1.0,2.0,1.0,1.0,17,129,0.0,0,0
50,8e805ce352502fdcfc16350e5750aaa95e7b3836-9579cf3e4ee5bccf06191c750184f02785fd20a0,2022-01-23 23:00:00,2022-04-24 00:00:00,0.0,0.0,8,1.0,4.0,2.0,4.0,21,249,0.0,0,0
