,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,7ff0f4a4a621ad342ceb525f72b467c942059ab1-97ceca96d77d4a55b3b6ed8ac73e56c44708b6db,2010-06-16 00:00:00,2010-09-14 00:00:00,,,,,,2,1454,,,,0,0
1,08eefdf9d528cd550c61d04386bc83679d458d6b-0eda49a022d2b3d2a165a1894c244c44f85ce708,2010-09-14 00:00:00,2010-12-12 23:00:00,4.0,4.0,2.0,0.0,2.0,4,464,2.0,1.0,0.0,0,0
2,e6231508bcaf3be49255d45d0b243a0da979150f-abf2cba93ab920996560a096772f37dc80af9f0b,2010-12-12 23:00:00,2011-03-12 23:00:00,3.0,3.0,2.0,0.0,2.0,4,621,2.0,6.0,0.0,0,0
3,e872abee3aacf8c7dc24cd0df4b9e44690d3523b-c8ae94f06e8a670cbf9f4c2926bbc5af3486c46c,2011-03-12 23:00:00,2011-06-11 00:00:00,5.0,5.0,2.0,0.0,2.0,5,461,2.0,8.0,0.0,0,0
4,caf7405587a72b208e74a63809d62bcd317a5980-68fed9788a02bbbca31719c2f4fdde9c7db1febd,2011-06-11 00:00:00,2011-09-09 00:00:00,5.0,5.0,2.0,0.0,2.0,4,744,2.0,25.0,0.0,0,0
5,379d73bf076f2115f8bb18ebcf504be1b2f85433-ab0220e176021ab994bc37baf6124b6458dd84db,2011-09-09 00:00:00,2011-12-07 23:00:00,7.0,7.0,2.0,0.0,2.0,6,878,2.0,37.0,0.0,0,0
6,8ec0f61bbbb3a33803c0a1da93b0778caa56dce9-38b7ca49742d23aa076e4656226d3fa1f4e52ed7,2011-12-07 23:00:00,2012-03-06 23:00:00,24.0,24.0,2.0,0.0,2.0,9,2861,2.0,46.0,0.0,0,0
7,25206b61d4adfe6e8210e16f8443c997348fec8b-0e1b67ffd20cbdbe6cfc36d867117dd1faa9dd6c,2012-03-06 23:00:00,2012-06-05 00:00:00,24.0,24.0,2.0,0.0,2.0,9,2279,2.0,123.0,0.0,0,0
8,497ecd4b329f80c031fc192a25bb74a8127c9231-7a1e446fa0452111b7ed8faece709718c63c6e04,2012-06-05 00:00:00,2012-09-03 00:00:00,50.0,50.0,2.0,0.0,2.0,12,1272,2.0,118.0,0.0,0,0
9,f8e7f242352a2e2d17cacf59cc42a0dafa6413df-542b8fda76e82cade197a7f8fefaf6ed3432aaab,2012-09-03 00:00:00,2012-12-01 23:00:00,26.0,26.0,2.0,0.0,2.0,10,4380,2.0,111.0,0.0,0,0
10,f4d56b9d32a0780d58b8770294fc6572c524ee5c-aafa75fbe428ba7e03bede989b7fb2fbdf9ec03a,2012-12-01 23:00:00,2013-03-01 23:00:00,58.0,58.0,2.0,0.0,2.0,13,2961,2.0,89.0,0.0,0,0
11,2e05aa425ff6b3e2b78c9c484352c95f4e43afab-6b59b2b3a24c7f868d0a47ea8b5f307acc4826ac,2013-03-01 23:00:00,2013-05-31 00:00:00,234.0,234.0,2.0,0.0,3.0,25,4683,2.0,323.0,0.0,0,0
12,94dc9bd85a0df7b421d64d1a6c749b659c3d5e9c-a1bbf6fd19ecbf9fc26b8b77c1729979cb5a2b3c,2013-05-31 00:00:00,2013-08-29 00:00:00,152.0,152.0,2.0,0.0,4.0,20,3348,2.0,210.0,0.0,0,0
13,418918cce29caafb798d93c05f9d25508b5305a2-fc1224ecbee1dd917caa6e6c1362d5f7d8476569,2013-08-29 00:00:00,2013-11-26 23:00:00,137.0,137.0,2.0,0.0,8.0,21,1246,2.0,127.0,0.0,0,0
14,99982097bb27a103b68fc4268ba0464df8f346ae-569358ee400afb801173aaee9d92b5c6e2dfe0c8,2013-11-26 23:00:00,2014-02-24 23:00:00,62.0,62.0,2.0,0.0,4.0,15,1073,2.0,46.0,0.0,0,0
15,57d3b6f5d2246e3e652c733882a6f09720b9c5bf-07e87bdc3f0458df943e7e8bd05428259013974a,2014-02-24 23:00:00,2014-05-26 00:00:00,22.0,22.0,2.0,0.0,3.0,10,345,2.0,75.0,0.0,0,0
16,362b88484f0af649fd90f568b3e9aa3ae2539579-661b1d020c2d25627950657dfa225da29361756f,2014-05-26 00:00:00,2014-08-24 00:00:00,27.0,27.0,2.0,0.0,4.0,12,631,2.0,58.0,0.0,0,0
17,8694a867bcc78c6c4d8c1a2986e131b92d86068c-9d3c4a95ee1f8a20184e0d42acc64cb0f40a524f,2014-08-24 00:00:00,2014-11-21 23:00:00,20.0,20.0,2.0,0.0,5.0,12,640,2.0,94.0,0.0,0,0
