,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,1f91e99223b0d1b7ed8390400d4a06ac08e4aa85-04dcee09bac42de8f85d28d513776518755e4834,2009-03-02 00:00:00,2009-05-31 01:00:00,0,0,114,1.0,3,3,806,114,113,3,0,0
1,76a8f7b5514b4861b14f933e37e429fdef827200-8c3693c6b08a29ada08f6b0dd9c43fa54871e628,2009-05-31 01:00:00,2009-08-29 01:00:00,0,0,61,1.0,3,3,362,112,136,3,0,0
2,86abfe10279ce957e3dad221b2ca6e58eea1758d-e0f5809386760f29147ccc16910dfe4ad83e1c31,2009-08-29 01:00:00,2009-11-27 00:00:00,0,0,91,1.0,3,4,205,150,146,4,0,0
3,f92915ffd53348415b848ba27729caffd917dbd3-84b39205eb67d9445d3cdffd99a8ac510b294ea5,2009-11-27 00:00:00,2010-02-25 00:00:00,4,7,108,0.5625,3,7,361,108,173,6,0,0
4,b87be16012a1a4184c88f73563e5feb55f1bf75f-b91c4d406b70c9b8fc4afe155ee7e8369b1f4423,2010-02-25 00:00:00,2010-05-26 01:00:00,0,0,74,1.0,3,5,279,156,237,5,0,0
5,cba59a81e6dd08f72e920f55b28752f979a35cea-312aaf0f561ee3eba51625ebd81ee8b67bca90db,2010-05-26 01:00:00,2010-08-24 01:00:00,0,4,48,0.6,3,5,290,115,183,5,87,64
6,70809e8b921ce5acf1466db15637321723b423d2-87f519c79d9c999b3e7b61a9646ee58fe5ccd192,2010-08-24 01:00:00,2010-11-22 00:00:00,0,2,49,0.777777777777778,3,5,312,111,206,5,113,90
7,59d185c2fdf0696675bb3853f9605e95161180f7-2a4a0502960ee13e2ddeb0cba58ac5113e29e9f3,2010-11-22 00:00:00,2011-02-20 00:00:00,6,10,61,0.523809523809524,3,7,376,133,328,6,93,45
8,1b18906cff9bae6b6d84d7a8ac96ddc6ea65bcbc-46dc52ba991bf516c2cdd61767abd2b06757235a,2011-02-20 00:00:00,2011-05-21 01:00:00,6,8,101,0.619047619047619,3,7,387,103,485,6,213,165
9,fe122c8c7d9ca0f002d5f394b4414dc91f278d1f-f44dc94ff5475b4ceb7c1c5a8a7377ee9102b7f0,2011-05-21 01:00:00,2011-08-19 01:00:00,11,13,81,0.380952380952381,3,7,392,81,156,5,0,0
10,a9e9b720fb04aa7218a0815ea4cfeaa1ef60c065-9ca13b649e56f2c45b475acf925a07fb54ec0a5f,2011-08-19 01:00:00,2011-11-17 00:00:00,9,9,46,0.4,3,6,419,95,335,4,0,0
11,bafa3059cc404045c570050081f7263f3fcc35a9-b3bc28bdb49d1c683de61b0ac0d63fead3cf5c3b,2011-11-17 00:00:00,2012-02-15 00:00:00,20,24,52,0.384615384615385,9,10,372,93,322,7,42,24
12,212fd417f3e622449725d83e8dacab9506318dff-68bae31313161848116d13b10f78639f4252f71a,2012-02-15 00:00:00,2012-05-15 01:00:00,16,17,47,0.484848484848485,9,10,630,95,423,7,83,37
13,19ce000b2d0958efc3803e6b365d70f4737e588c-8a290c1b7cf3e414272f22ee5b0f3cae265f732b,2012-05-15 01:00:00,2012-08-13 01:00:00,23,26,78,0.315789473684211,11,11,401,80,942,6,147,91
14,197511f0b1b10b67fdd4942fe6f9c88adcad6f57-edcc7f137f573eb6aa38fe4f5b79c22de7811342,2012-08-13 01:00:00,2012-11-11 00:00:00,23,29,36,0.340909090909091,11,13,412,63,520,8,165,106
15,39066b722607fa88e75d5bc772bd52f1ec8914a0-aae62a76cefc8ebb16bc740d157d220e4f585051,2012-11-11 00:00:00,2013-02-09 00:00:00,8,12,53,0.636363636363636,9,9,463,84,86,8,0,0
16,c3f9ee7d918fef6542f82c35c41edf0918f0fc60-156fb112dc37470614e01c037e797e83afda93d8,2013-02-09 00:00:00,2013-05-10 01:00:00,25,31,65,0.295454545454545,11,11,484,106,102,8,117,132
17,0e4bf0916d971a1e3194b2b9dbb0654eedc863ce-9cf1068b73e9d7ce47b3d2eaf223a20cb6779940,2013-05-10 01:00:00,2013-08-08 01:00:00,33,41,94,0.267857142857143,7,15,609,96,94,9,185,133
18,7d45d2bde3724a15a9e0f68bb047a41853ccd340-82c0094a89c30bf9b66e2d8c43003da98ea4c432,2013-08-08 01:00:00,2013-11-06 00:00:00,28,38,64,0.191489361702128,11,14,540,107,104,8,125,77
19,8c2404493a6efc109cd621c02a4de6ef1f1f46aa-63f110b5e058217c1d7e3d178b367b918ca2f856,2013-11-06 00:00:00,2014-02-04 00:00:00,29,36,46,0.28,11,13,517,83,86,7,285,173
20,039e9b9a18cbe78091231a4538b6d428deacc771-9eb346a6432e952a1892f77c0cf6fda9b40ba1c4,2014-02-04 00:00:00,2014-05-05 01:00:00,106,136,108,0.227272727272727,11,26,665,110,100,15,3,0
21,706afc300d9b298cb9456671a514cc9580b94ecc-4e4761ccbc12bcc248c17cfcf6b1a602c038b4a4,2014-05-05 01:00:00,2014-08-03 01:00:00,61,97,47,0.217741935483871,10,27,498,86,90,15,129,82
22,57abab1f2551fb5e3792bc9f3828af3c04d52636-9274197b4bdb343731b964f2fcd8f70814f42a41,2014-08-03 01:00:00,2014-11-01 00:00:00,237,274,39,0.0805369127516778,10,46,776,75,95,14,136,82
23,0f59629ce280ba2a74d65a7719dde7cf79923f05-806facc8ca87a8d1f6fa14056c68ac43dc5bde5c,2014-11-01 00:00:00,2015-01-30 00:00:00,278,308,49,0.0523076923076923,10,41,653,74,65,13,109,61
24,f1232532e61080096a92e0044b572a1314be2bf5-cdfa9ed7e94aee9ff641152118fc1276d35299fe,2015-01-30 00:00:00,2015-04-30 01:00:00,199,231,40,0.235099337748344,12,43,630,87,70,19,160,131
25,3c09adec72dbdc6d27479ca7f681ee2406e21e64-3e75d5a627097b82617e3e7b179f8db289485329,2015-04-30 01:00:00,2015-07-29 01:00:00,244,320,27,0.144385026737968,12,45,843,81,97,19,788,445
26,45c04b72753a738cb4a8af7025ad4cb10a12c452-928e4c28c63e0142979d097ec57110dbc1046d67,2015-07-29 01:00:00,2015-10-27 00:00:00,370,431,33,0.0630434782608696,13,53,764,60,107,16,384,237
27,b06c637f11b0ef8e0063b806199c6c59f55358b6-0a1cfaaceade1317e9fc802d77e39371e745dee3,2015-10-27 00:00:00,2016-01-25 00:00:00,426,478,37,0.047808764940239,13,60,573,88,99,16,112,74
28,442f4737ceddd34f14210da49cee4d48b468f01e-7afc1571bb465ba45572f849e6f285182b6c1e7d,2016-01-25 00:00:00,2016-04-24 01:00:00,292,370,52,0.0561224489795918,15,61,597,111,147,19,199,66
