,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,fc186f50392bf8c804b1d314971c92efa5f52fc3-260e77ca352172dfbbb9e9193f5124ccabb7d48a,2007-01-21 00:00:00,2007-04-21 01:00:00,0.0,0.0,60.0,1.0,3.0,4,1386,60.0,242.0,1.0,737,44
1,dbc7baae3e85ddac303f54b37dbfd8fb86edbfb6-0b2d7d7c9dd86aeb5d587275895d65309ef43ff9,2007-04-21 01:00:00,2007-07-20 01:00:00,1.0,1.0,55.0,0.0,3.0,5,111,55.0,208.0,3.0,19,8
2,99230235b2e9a72e63ec3a4c201a4101a23b862d-5ddd4fc3eaffa3f84e349af54808c0f31efd02c5,2007-07-20 01:00:00,2007-10-18 01:00:00,1.0,1.0,41.0,0.0,3.0,3,310,41.0,214.0,2.0,50,21
3,65034566dbb18db834b8cdd3238f40b9a5e7f636-8975dbcde7f7925d3397680519ac4a6bf9824e13,2007-10-18 01:00:00,2008-01-16 00:00:00,7.0,7.0,47.0,0.3,3.0,5,1674,56.0,475.0,3.0,151,117
4,73d4e41b82dd7c48edcc0626aa7696d39f1c6c66-6cf673142f05488c3d97fae7488abce0dba9f00f,2008-01-16 00:00:00,2008-04-15 01:00:00,4.0,4.0,39.0,0.333333333333333,3.0,5,341,51.0,339.0,3.0,84,45
5,531764266c26e8324dedd4b16e2469a09c3db86d-4ac2bd447cb53f5b29f8e09093bed250d35f67e3,2008-04-15 01:00:00,2008-07-14 01:00:00,2.0,2.0,20.0,0.5,3.0,5,217,46.0,339.0,3.0,46,37
6,535059f75ebd3d28fe3aace71793290a389bcc48-6df823927be589bda68ebdd2d50c1ef4e0215113,2008-07-14 01:00:00,2008-10-12 01:00:00,4.0,4.0,20.0,0.333333333333333,3.0,6,172,51.0,255.0,4.0,41,9
7,5c648d2a48bb9787364e00fced762f73720cf592-2c1ad751202f66f1a3de5bb1ad812cc453947f38,2008-10-12 01:00:00,2009-01-10 00:00:00,5.0,5.0,21.0,0.375,3.0,5,1283,25.0,174.0,3.0,36,36
8,d539606a82259c7958dc42b84228cb4962185fe6-577579daf7fbbfc80ba2809cbd9023986b9213a2,2009-01-10 00:00:00,2009-04-10 01:00:00,2.0,2.0,26.0,0.333333333333333,3.0,6,173,26.0,118.0,3.0,14,6
9,5f52eab1a29f933361108ec3f7272b13b273286d-3f460dc91b44628b9e4e75048632046772c01a63,2009-04-10 01:00:00,2009-07-09 01:00:00,2.0,2.0,32.0,0.5,3.0,7,193,32.0,153.0,5.0,39,18
10,fa4bddd4c1f6081f4d4f604f5c19826416387244-7f9d64c95fb573e484b485d5c63ff30fd0c7d11d,2009-07-09 01:00:00,2009-10-07 01:00:00,2.0,3.0,26.0,0.25,3.0,4,217,26.0,99.0,3.0,25,23
11,9351b67e5d0205ba4ebe854622871c3941c0702c-e27dbea87e2cd76dcd47ab5ff5acfdb28e033963,2009-10-07 01:00:00,2010-01-05 00:00:00,6.0,6.0,30.0,0.333333333333333,3.0,6,786,30.0,370.0,4.0,75,51
12,67d6fa7145b1d264b87ddee46ec40ac6432b660d-74876f61e6e9d700bc9ee2d1b43b7009bf7338f2,2010-01-05 00:00:00,2010-04-05 01:00:00,2.0,2.0,34.0,0.333333333333333,3.0,5,530,34.0,179.0,4.0,78,79
13,0411bf9a157af4493574a1a55d209098174d538b-81e86e6486f9ac09cafe99439f8747d914c96ebb,2010-04-05 01:00:00,2010-07-04 01:00:00,1.0,1.0,23.0,0.5,3.0,5,171,23.0,87.0,4.0,36,72
14,01347139d2241dc902048652d3f585deee869371-d213f112644d4c05f75514b164cc68d051a75ed1,2010-07-04 01:00:00,2010-10-02 01:00:00,0.0,0.0,28.0,1.0,3.0,4,615,28.0,83.0,2.0,18,22
