,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,e4694325bc52209c0700294437d4e260991e9f82-b3b89139bbb4ef4acf82b62313814912692b46d0,2003-05-12 00:00:00,2003-08-10 00:00:00,2.0,2.0,115.0,0.333333333333333,3.0,3,144,249.0,1073.0,2.0,135,54
1,606b836061e47ca678c97749089e14d29a1c9495-e389289e779612c5930d7c292bbbc94027695ae5,2003-08-10 00:00:00,2003-11-07 23:00:00,3.0,3.0,141.0,0.0,3.0,3,95,293.0,1439.0,1.0,29,25
2,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae-f1e2670f72723678eb7cfdf913ef3c1a5b586b0d,2003-11-07 23:00:00,2004-02-05 23:00:00,1.0,2.0,114.0,0.714285714285714,3.0,6,139,267.0,1243.0,5.0,223,26
3,21ef26838dc27b12450eac55d12e0562f3e64721-21314a8b5720ce0a039aa13947c3f1cea8331e3b,2004-02-05 23:00:00,2004-05-06 00:00:00,0.0,2.0,118.0,0.333333333333333,3.0,4,149,255.0,1175.0,4.0,91,84
4,0e424881ff2566aa25d470f6eb60d4dd888c1f94-77b718485ce80daf38be3c049eb7402318ae3063,2004-05-06 00:00:00,2004-08-04 00:00:00,0.0,4.0,121.0,0.333333333333333,3.0,4,106,243.0,1115.0,4.0,177,107
5,61c175d0efade12b6bc18892028e881ddfb15e58-d6f812567bfeb3b93b5eb954384028eb4d2c06e8,2004-08-04 00:00:00,2004-11-01 23:00:00,0.0,0.0,95.0,1.0,3.0,2,48,220.0,1102.0,2.0,43,33
6,90dcb817a4aa10b296b8f697ff651c2f6d99fb5d-6e57f9a1bada3577e81997a209304db0911e12c4,2004-11-01 23:00:00,2005-01-30 23:00:00,0.0,0.0,119.0,1.0,3.0,1,23,249.0,1679.0,1.0,0,0
7,d53731afbedd09b270f87d33f345dda00a98d7f9-e368d0d7029739860638d5e85f47937b2b88b95a,2005-01-30 23:00:00,2005-05-01 00:00:00,0.0,2.0,154.0,0.0,3.0,3,124,282.0,2309.0,3.0,15,4
8,6a82146702f0f420879108d5d4d40a9297a03d4a-23e9e2da2abd54272d72e52d9457b44ac0d3424b,2005-05-01 00:00:00,2005-07-30 00:00:00,1.0,1.0,25.0,0.0,2.0,2,34,24.0,1.0,0.0,17,2
9,cb85a3bc905b040333afcafa6870f6bdeb891572-86fa786c16d80930fdfd155e6c8b28dcc4afe75e,2005-07-30 00:00:00,2005-10-28 00:00:00,2.0,2.0,24.0,0.0,2.0,3,29,23.0,1.0,0.0,30,20
10,c5768f0660d4b26e222dbcc1ad3bc4019f59c7dd-b38463a5e35fa7dfd0f9dfbdc7fb637035fa1372,2005-10-28 00:00:00,2006-01-25 23:00:00,1.0,1.0,55.0,0.0,2.0,2,71,54.0,1.0,0.0,20,13
11,e6e3bee13f311a237dac3b94c2bc03b02da1480e-f10c7bda4e39f0456a4b06cda5f054f6ac0f7419,2006-01-25 23:00:00,2006-04-26 00:00:00,0.0,0.0,65.0,1.0,2.0,1,4,64.0,1.0,0.0,8,0
12,a43a4ea63d65caa808606e937186ccf8e3ac0e1f-08f7775741244c00a5d2c3ed19cbd466e0723bd3,2006-04-26 00:00:00,2006-07-25 00:00:00,0.0,0.0,27.0,1.0,2.0,1,8,26.0,1.0,0.0,3,1
13,3b405923090ff6a6fc41f85568824338a998c0db-3b405923090ff6a6fc41f85568824338a998c0db,2006-07-25 00:00:00,2006-10-23 00:00:00,0.0,0.0,25.0,1.0,2.0,1,1,24.0,1.0,0.0,0,0
14,05195b77ca8d86fbb4fdd9216f436d8b7f3a57de-d72010f4402206c7fab816f30a7f3932b1d8574f,2006-10-23 00:00:00,2007-01-20 23:00:00,1.0,1.0,50.0,0.0,2.0,3,314,49.0,1.0,0.0,59,15
15,32ea2a389ab8f2f8c5620498be82f1ae174e1b38-409d56d206891f76a3e751e4dcdcd22a8c898acc,2007-01-20 23:00:00,2007-04-21 00:00:00,0.0,0.0,93.0,1.0,2.0,3,131,92.0,1.0,0.0,13,10
16,bb00559975c3b3e115b7ae618548aedc5b2572c6-5976a62dee16f66dbac18e47cd0e124d54dc661c,2007-04-21 00:00:00,2007-07-20 00:00:00,2.0,2.0,95.0,0.0,2.0,3,101,94.0,1.0,0.0,10,9
17,b8b6c66e1caceb44ce7250c999e63a12659a45e4-00f7b063b362cdaf8b451de4f589fe971fef43c1,2007-07-20 00:00:00,2007-10-18 00:00:00,1.0,1.0,119.0,0.0,2.0,4,32,118.0,1.0,0.0,11,12
18,70e3baa85f744fe1db93bd7bf683ff51dd17c831-9305664d2a96f09bff12b8f39e9dc0c097244283,2007-10-18 00:00:00,2008-01-15 23:00:00,3.0,3.0,97.0,0.0,2.0,3,54,96.0,1.0,0.0,45,27
