,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,95e7b46943f64284752472e55efb29f9715c3986-1c535394f69395ea7d61053c78d4a57aa31a687d,2004-08-11 00:00:00,2004-11-08 23:00:00,6.0,6.0,71,0.142857142857143,3.0,5.0,1298.0,146,436,2.0,0,0
1,50d75f34e88eaa19d534f49626f13a958d0ca51f-93229b09b8d2ac785f1fb9dd604a5d489edab1c4,2004-11-08 23:00:00,2005-02-06 23:00:00,5.0,5.0,88,0.285714285714286,3.0,5.0,1319.0,168,619,3.0,259,43
2,20dd153f993c36812ad80b6e19f678fe083f72ea-f2ee915aad70047e2a595a76aed5c3a8a096e910,2005-02-06 23:00:00,2005-05-08 00:00:00,5.0,5.0,90,0.166666666666667,3.0,6.0,339.0,178,874,3.0,844,143
3,965be700e2859b4ad642d59ded025cdb02e69b58-2542f1dd830d2fe6a6532b09dab7c44acf16d825,2005-05-08 00:00:00,2005-08-06 00:00:00,9.0,9.0,55,0.181818181818182,3.0,6.0,309.0,177,1656,3.0,200,95
4,e214c072c3b33f7d3d39bfb7508d5468832c11e8-f9f4d947ada9fcfdef9aea96044eb93592f228fc,2005-08-06 00:00:00,2005-11-03 23:00:00,15.0,15.0,79,0.0625,3.0,10.0,1323.0,187,1334,4.0,99,63
5,4a8e892a90cd977d5af64cb43ac8330c445e12ea-1bf5390b250f1c14ef8172601fdcb5c55fc931bb,2005-11-03 23:00:00,2006-02-01 23:00:00,21.0,22.0,99,0.153846153846154,3.0,9.0,387.0,230,1524,4.0,168,104
6,6b509650698ec67d4ddc5cbae50008c6af9390a0-97cf6942cdd4335cabf16aa787a00aac4a47cc62,2006-02-01 23:00:00,2006-05-03 00:00:00,29.0,33.0,95,0.131578947368421,3.0,11.0,637.0,218,2961,5.0,500,319
7,1b391635b241d2754c89a088ac814a13b51133e3-43e6994a6c7b0473720d978d0704b221e712d740,2006-05-03 00:00:00,2006-08-01 00:00:00,37.0,37.0,74,0.274509803921569,3.0,13.0,324.0,216,2972,7.0,255,143
8,57664935b72000cd8c709ee59b975c47f3242c7c-9ea9234106fa86b71137d7988eb563b997639bf1,2006-08-01 00:00:00,2006-10-29 23:00:00,37.0,37.0,67,0.327272727272727,3.0,14.0,1576.0,211,3088,8.0,371,291
9,5e4e33b58295f5f0c4d4826f4c44b81512f22c0f-b084bcdae35db20b8b1715cab861cb22e9de90eb,2006-10-29 23:00:00,2007-01-27 23:00:00,11.0,11.0,83,0.476190476190476,3.0,14.0,244.0,196,1723,10.0,302,103
