,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,b4e471ae1115d0625b7db94d3154da3b61f91a6f-4fedb7a5b24a9ce62c370da374d0d79e3077347e,2012-09-03 00:00:00,2012-12-01 23:00:00,0,0,56,1.0,6,2,143,136,246,1,9,1
1,4125d38a87b4caf4c8d53a45c8aac688fea253e0-b41f51f1c6cd786f14f0d50066a67a76169b9d1e,2012-12-01 23:00:00,2013-03-01 23:00:00,4,4,74,0.333333333333333,5,6,178,86,231,3,16,3
2,7c292ddc2a3ee16f79d3c7bbe9b36afee8c4d77a-ea52111117ce924c30512628eefdc17b5071ed3c,2013-03-01 23:00:00,2013-05-31 00:00:00,2,2,60,0.5,6,5,365,100,305,3,0,0
3,3a11d2917d93e053939ff0f8c67f726471783dea-28414fe2b9a9a6a05dd65306ca62406e6b72800b,2013-05-31 00:00:00,2013-08-29 00:00:00,4,6,98,0.6,3,8,514,117,652,7,128,33
4,5232b0e1423deecb206e79d5978e4fe7db8197b6-931b641b1dfecdc5d1c0b65ebfbff6bbda099649,2013-08-29 00:00:00,2013-11-26 23:00:00,6,11,55,0.541666666666667,7,10,1421,116,815,8,1022,44
5,622aad0fa976608bbf95a573091fa4429d9b0bf5-d90d5b165ee3bdb072a8101a3b0acfb8c930c935,2013-11-26 23:00:00,2014-02-24 23:00:00,8,14,78,0.3,5,10,536,93,381,7,420,306
6,0ca797a41a0fc7f36934c259b4c179f9713e9b8e-e6a665298558ea4e6ae72b8efb9ce9c7a97d2680,2014-02-24 23:00:00,2014-05-26 00:00:00,8,39,64,0.338983050847458,6,15,842,132,1739,13,1350,721
7,602f8173ee9852bb386b5b1751b919396e63387c-a6d74f5d1ea03314119a1b404a515251fd246a3f,2014-05-26 00:00:00,2014-08-24 00:00:00,25,59,127,0.289156626506024,6,18,952,127,695,13,672,517
8,4216e0e2c60cf17caa678cee685cbfc2ca4e819a-09aa34b68c97a20412e9917d2ab6bf182477beb4,2014-08-24 00:00:00,2014-11-21 23:00:00,21,33,143,0.597560975609756,6,21,1077,146,773,15,412,257
9,ec486fc61612c13453f5773fe3ffcc8de0777abf-bfbc0e01423ab85f362013a03ef0f00e95cd721b,2014-11-21 23:00:00,2015-02-19 23:00:00,67,85,107,0.19811320754717,7,22,618,163,960,12,342,182
10,6e6f789a46c4237a53bc963eeab30eb6e34291c2-8e0f7039f753a6800a5b8b27ce014f75fe55e0c1,2015-02-19 23:00:00,2015-05-21 00:00:00,48,60,95,0.4,8,21,768,163,1968,14,1660,1177
11,0c69631fb9e7ef19e503645d6433584a12de23d4-0ee609581423b9649391be02013da86fe9b0e2f2,2015-05-21 00:00:00,2015-08-19 00:00:00,25,37,165,0.383333333333333,7,21,432,185,1163,15,368,332
