,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,194590531e50039c23459956a162c4c5257640a4-a0ada7603d2447c7b70d791a8ae1fa75a4bd413f,2015-04-28 00:00:00,2015-07-27 00:00:00,15,19,26,0.472222222222222,7,15,4103,135,327,11,3568,0
1,d307eda9253e9d8929806f5421ef12059eed71eb-2aec6a54b9aa71d06b195e57991d0134cd2af096,2015-07-27 00:00:00,2015-10-25 00:00:00,85,94,37,0.189655172413793,6,27,4026,98,580,13,0,0
2,daa0725d8e108032ba39c8064271123813ee7655-9899940bbbe9e6a123b62269884dd852f1a70ac0,2015-10-25 00:00:00,2016-01-22 23:00:00,32,64,34,0.452991452991453,7,25,4246,123,703,22,0,0
3,2b7813404ecf78bf5e8a1007fb849b0d09a48050-def78f1882b2a3b065e0d6aa06deeb8a81ec91d8,2016-01-22 23:00:00,2016-04-22 00:00:00,32,45,32,0.651162790697674,6,23,7006,110,1054,18,0,0
4,5757ca4b4afca5f82acf601bc3f0463f519cb9a9-547fc48860c178c1e024379d58128264275fbc98,2016-04-22 00:00:00,2016-07-21 00:00:00,87,124,37,0.307262569832402,4,24,6885,129,959,17,0,0
5,54f305be774312bed7125fe6b0abcf19f6f2c11a-7511ffac940ef63850c5a3f83857efbae3ac3b18,2016-07-21 00:00:00,2016-10-19 00:00:00,83,109,34,0.358823529411765,8,29,11408,104,765,18,0,0
6,e130e5b62bcb2d3c561be90f46407dc49f100b4a-f84cb808bb304f44ca24cb6b265b746445f29119,2016-10-19 00:00:00,2017-01-16 23:00:00,38,65,39,0.453781512605042,8,29,7119,166,1634,21,0,0
7,36d9d0991c83992a3dc17e06cfdfe24b1be2fd04-aaef124e3d4d7b46c82ddb4d2af65ee48b73ba53,2017-01-16 23:00:00,2017-04-17 00:00:00,77,109,54,0.282894736842105,6,28,3750,208,3451,18,0,0
8,9b49bc8fc53cb2520215e90930b2c9a27a918921-40e70f18d3f7233cb7475edc2cc08f423dd9d422,2017-04-17 00:00:00,2017-07-16 00:00:00,109,181,66,0.245833333333333,5,39,1555,215,2254,26,0,0
9,0bce1eaffd1b8c0f482519ec47ea43231e8f40f1-0f72bef2a152b670868f582d9dfeafd794bed871,2017-07-16 00:00:00,2017-10-14 00:00:00,67,157,51,0.305309734513274,6,41,857,150,964,30,0,0
10,63fcc1787413bf66ec3c15ae4fd75a76317b0302-49d28f93fd2ef069693ce15d124ef3a29f22fb7d,2017-10-14 00:00:00,2018-01-11 23:00:00,131,167,41,0.177339901477833,9,36,4049,86,431,17,0,0
11,5c1d8ef106d468dcc584d1ff0393dbcb6c5a4c81-8ca39e93f2d4ef6503e3b52a68fb193bc5c3e6ac,2018-01-11 23:00:00,2018-04-12 00:00:00,187,230,39,0.157509157509158,8,39,3973,82,356,19,0,0
12,bdbc0e32b5e7cc7ed4fc916f27ef02f3d0da6568-9d87117b131172e05ba28fc6154aca3370115aa1,2018-04-12 00:00:00,2018-07-11 00:00:00,101,131,24,0.102739726027397,4,34,1566,64,308,17,0,0
13,b4796e6d6667ba2815871ea7f81d48fb92af87b1-cf7ff85112cc26d11dcbae48a498996a38e9dfea,2018-07-11 00:00:00,2018-10-09 00:00:00,187,232,29,0.265822784810127,5,45,2802,74,312,25,0,0
14,2320aaadfa140ebec32db1e0543d5c3fb7766ed6-fcc61b647f147fba409cd4c73de8271b7bc78c2f,2018-10-09 00:00:00,2019-01-06 23:00:00,186,216,67,0.228571428571429,8,45,2250,67,231,24,0,0
