,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,231c5a3c24c37ba90935a66c194643afc94e3ac8-3900b2fe9cf35846e6a996177e89cacc462a4781,2011-08-06 00:00:00,2011-11-03 23:00:00,3.0,3.0,33.0,0.5,3.0,4.0,85.0,83.0,350.0,3.0,4,2
1,975c3e1c81475ca506b2174ef396b22670a1268c-bd4fd423b52d446ac1f014760edd19e5d21ca3f9,2011-11-03 23:00:00,2012-02-01 23:00:00,2.0,2.0,39.0,0.5,3.0,4.0,97.0,75.0,401.0,3.0,5,2
2,f1270e72ae19a75d912276a7d4d32ef582299f0b-0e78d17ac0b2717f0afbb8799b16f255231eaea9,2012-02-01 23:00:00,2012-05-02 00:00:00,2.0,2.0,62.0,0.333333333333333,3.0,3.0,128.0,112.0,262.0,2.0,4,0
3,72bea8133531511393feb204915a217912646824-a39483e19ae2096c9075bb0f61c0bb6d69497aef,2012-05-02 00:00:00,2012-07-31 00:00:00,2.0,2.0,15.0,0.5,3.0,5.0,118.0,63.0,495.0,4.0,4,4
4,f8f16bd768557b66ba459b3f5ba7ccc437d2191a-7f7e0056cf4e40fd8ab4493cb5dd783928bd8b9a,2012-07-31 00:00:00,2012-10-28 23:00:00,5.0,9.0,9.0,0.4,3.0,6.0,443.0,60.0,646.0,5.0,91,14
5,ea2198d1eaa3f85b67aeacf80c59ff6c2d6cae4b-0e1dd32911236db6a3e379141a4a59acaac0c00d,2012-10-28 23:00:00,2013-01-26 23:00:00,2.0,3.0,18.0,0.785714285714286,6.0,7.0,707.0,48.0,558.0,6.0,63,40
6,303386f75685e8133c20c213027d4e34ee580bc9-903302d12fb2af7788a8745af1bd05003ee985dd,2013-01-26 23:00:00,2013-04-27 00:00:00,8.0,13.0,14.0,0.580645161290323,9.0,10.0,384.0,66.0,822.0,8.0,108,40
7,6c05902ba16de1e70dbf80da702492aeb32b5317-218f60236ff174852ce91384256d722d2ad48cf8,2013-04-27 00:00:00,2013-07-26 00:00:00,0.0,1.0,10.0,0.909090909090909,5.0,6.0,341.0,52.0,439.0,6.0,52,29
8,8df1027b4403f3b64ef02bd066d864371f6613f3-fad298ebb5a35c7466aac69af57f60775ff6a87f,2013-07-26 00:00:00,2013-10-24 00:00:00,0.0,2.0,52.0,0.333333333333333,5.0,5.0,189.0,67.0,296.0,5.0,26,8
9,909d4c3cc09bcc83c199000f632c798b39b24bf7-5d1bc2de1bc10eac795994772d17154b8c6b4e0a,2013-10-24 00:00:00,2014-01-21 23:00:00,0.0,2.0,32.0,0.5,6.0,4.0,98.0,67.0,237.0,4.0,29,9
10,d1a061e1a5382a12d03407d6bb1c19801fcc7fb1-120091511f4729441541cd764414fb52a34889b2,2014-01-21 23:00:00,2014-04-22 00:00:00,0.0,1.0,50.0,0.75,6.0,5.0,62.0,65.0,312.0,4.0,25,15
11,bd4127b76ac058b34318d848cf00f5b8bef34a6c-969a488183a42dedbde8dcec7ac00595a836974c,2014-04-22 00:00:00,2014-07-21 00:00:00,0.0,3.0,25.0,0.0,4.0,3.0,194.0,55.0,235.0,3.0,20,12
12,ce97134d253c4e9fca48b7cede2048e60f36ff79-f43f450093876ba8ae164681789cad0e6ea4b68e,2014-07-21 00:00:00,2014-10-19 00:00:00,0.0,3.0,33.0,0.0,4.0,4.0,131.0,41.0,132.0,3.0,31,22
13,7c61dcf4abaa422637a68839bf0d547a164375a3-43de1d8cddacf02e48cf6a7ac5a5888369e978cd,2014-10-19 00:00:00,2015-01-16 23:00:00,0.0,4.0,43.0,0.0,4.0,5.0,184.0,50.0,164.0,5.0,53,1
14,bc2babcc63ba482f7f15ff4820abf51339081e5f-92a8f1ca1b472e539e4b9831679848cd108ab29a,2015-01-16 23:00:00,2015-04-17 00:00:00,0.0,3.0,24.0,0.0,4.0,4.0,94.0,40.0,82.0,4.0,0,0
15,f930318772845ea1f121ad3b3e593513239a3e4b-6cb6acb44a1cff4136125faf763e67525ea696b1,2015-04-17 00:00:00,2015-07-16 00:00:00,0.0,3.0,19.0,0.0,3.0,3.0,324.0,22.0,82.0,3.0,30,0
16,1ca3222078064fe4bc1f92fc94a58cafa39f2643-5b0cd0e0a2ddbf722b6140d28474295c8376e561,2015-07-16 00:00:00,2015-10-14 00:00:00,0.0,1.0,22.0,0.0,3.0,5.0,84.0,22.0,51.0,4.0,0,0
17,843d1863d3624eeda4f094beefdd1eaf6eb23daf-ca36f1d499a70b1aee85ac637de53f153a9f4c92,2015-10-14 00:00:00,2016-01-11 23:00:00,0.0,3.0,18.0,0.0,4.0,3.0,65.0,18.0,38.0,3.0,0,0
18,1e802da3a611eb2953c4ec3c650436278d76b9dc-bac93fadea1a696e9017e273be594b4b0981f010,2016-01-11 23:00:00,2016-04-11 00:00:00,1.0,3.0,18.0,0.0,4.0,7.0,130.0,18.0,46.0,5.0,0,0
19,b5b76c28408e7401dc61fc2047182d971bbc2537-b51ecd27cccc520764c9ae53cabcb61d67d46d15,2016-04-11 00:00:00,2016-07-10 00:00:00,1.0,7.0,14.0,0.0,3.0,6.0,279.0,17.0,138.0,4.0,0,0
20,72562004cfa5106472f61efc5d456788bbc256f9-8bf08f545d15b39e43874a2b1ac5b0586a917a4f,2016-07-10 00:00:00,2016-10-08 00:00:00,2.0,4.0,30.0,0.0,4.0,5.0,75.0,30.0,132.0,4.0,0,0
21,bf4c371de97762d1cb3abd42d872c538a28b2cd8-2ddabf3b84d42184d9781e02a936fa1160177866,2016-10-08 00:00:00,2017-01-05 23:00:00,0.0,0.0,12.0,1.0,5.0,3.0,212.0,26.0,74.0,2.0,0,0
