,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,7b4cbfe84333e4daadfcf5450b7ef12abd582ca1-2201c3174b98839d6f6bfef6992cc0e51807fd25,2004-09-13 00:00:00,2004-12-11 23:00:00,0.0,2.0,11,0.666666666666667,3.0,4.0,346.0,54,263,4.0,0,0
1,8f16975a74f4736b1685a01b9aa339cd220eef6e-8892bcc35519c7ca7eaa6319eecc40871cee2600,2004-12-11 23:00:00,2005-03-11 23:00:00,0.0,3.0,24,0.7,3.0,5.0,535.0,88,341,5.0,0,0
2,c9724deb6200e60d0839ebc88006ae9ce8a36662-3beefbf69343bbdbe0f8e7bc90ba0784da67c859,2005-03-11 23:00:00,2005-06-10 00:00:00,0.0,4.0,38,0.733333333333333,3.0,7.0,652.0,114,701,7.0,0,0
3,42385cfdd9790c2c9b37cd56a83eb2399a03c47f-7150c22243362cd26b0e5fcb47b598a36a294237,2005-06-10 00:00:00,2005-09-08 00:00:00,0.0,2.0,49,0.818181818181818,3.0,7.0,802.0,141,706,7.0,0,0
4,b6ae8fa55e5835aea75c4fbcc67571337957e2ec-415a22426d30498bdc860d7df55d295e8e34e505,2005-09-08 00:00:00,2005-12-06 23:00:00,0.0,2.0,50,0.818181818181818,3.0,9.0,1695.0,147,916,9.0,0,0
5,5f1da1f3b9ee2af67f4aeab04b8cda0436a8e77a-31640bea69855523f92596ee20113b2c061f4014,2005-12-06 23:00:00,2006-03-06 23:00:00,0.0,5.0,56,0.761904761904762,3.0,10.0,495.0,149,637,10.0,0,0
6,d5b25ef8e852c8c3b7757c65da29552e15ede6cc-2ce32277f1a7bedc4a8423bca699bc3e574eabc1,2006-03-06 23:00:00,2006-06-05 00:00:00,0.0,3.0,55,0.842105263157895,3.0,8.0,1185.0,170,1008,8.0,0,0
7,f4fd5f19ede0c650280a31166b068d965835af3c-2012f5a9011f6587c2a11093fb60f508f483ab1f,2006-06-05 00:00:00,2006-09-03 00:00:00,0.0,4.0,48,0.80952380952381,3.0,8.0,404.0,149,861,8.0,0,0
8,deeb04c9575d568cea3a7f2a87b4594c7ae310c5-b1e7aac4d3f8aa417319765c4f0b0f57d889845e,2006-09-03 00:00:00,2006-12-01 23:00:00,0.0,1.0,46,0.923076923076923,3.0,8.0,1312.0,169,804,8.0,0,0
9,b3e8915eb8a2bff0955208abd630d6f837751b61-1fedb07b167c7a29c6cb292094142150b46076d1,2006-12-01 23:00:00,2007-03-01 23:00:00,0.0,1.0,110,0.928571428571429,3.0,7.0,1772.0,140,754,7.0,19,9
10,6769b2bf3bf42d514f24cacf776d5671abfee830-5a56a4561d67b73576735a72958f22f73e138778,2007-03-01 23:00:00,2007-05-31 00:00:00,0.0,4.0,93,0.692307692307692,3.0,9.0,622.0,176,962,9.0,16,0
11,0799eaf5e1933dabde4a8dde94e04813dedc103f-3559cfdf14a71c217a27a1047553c0004a8f8773,2007-05-31 00:00:00,2007-08-29 00:00:00,0.0,3.0,77,0.727272727272727,3.0,11.0,588.0,161,940,11.0,20,3
12,e4ca67420c8997c6edc5b8190a6dcfe659905d55-b70df93b0d9a3366cc321a2bcb081d6c5cade7b8,2007-08-29 00:00:00,2007-11-26 23:00:00,0.0,8.0,71,0.6,3.0,11.0,1174.0,146,1010,11.0,10,1
13,8c04356cde46b7213b4b1b05b75c62f9a2aa9189-2747d86c8e85f26f2fc02bee90464e6f5bafdcbc,2007-11-26 23:00:00,2008-02-24 23:00:00,0.0,4.0,79,0.826086956521739,3.0,12.0,1009.0,170,1082,12.0,22,0
14,59aa3c03ef90a5b643ab07332e21681d5bcef53f-9402edee0bb5a8aca31ab98c5088d5bd8a8cac72,2008-02-24 23:00:00,2008-05-25 00:00:00,2.0,6.0,80,0.76,3.0,11.0,462.0,168,1290,10.0,1744,172
15,0faf8bfcc41ffa263d9f1fb008d94bf6f6a60a78-6d46c76baa8aebefbe675b34ded0e67deb67c184,2008-05-25 00:00:00,2008-08-23 00:00:00,0.0,1.0,79,0.75,3.0,10.0,151.0,142,560,9.0,44,0
16,20b7d6ba5ac56bf220373b17c7465261aec22d4d-71be54248247f5c16d8623d22c5f4d1e8c3114ba,2008-08-23 00:00:00,2008-11-20 23:00:00,0.0,6.0,73,0.538461538461538,3.0,10.0,396.0,144,971,10.0,755,21
17,45ad27dfa347379b5b780cfb766f9587d6709a62-54ac4bcd680a041703893c78f0cb48a6bde79e7a,2008-11-20 23:00:00,2009-02-18 23:00:00,1.0,10.0,68,0.166666666666667,3.0,10.0,210.0,145,819,9.0,679,53
18,5985fda10a7102209a6c04a03fd0440e0257984b-ca7af46cd1db7976bf84c71a168857a02a07e176,2009-02-18 23:00:00,2009-05-20 00:00:00,0.0,15.0,67,0.423076923076923,3.0,11.0,924.0,147,1056,11.0,1360,79
19,a525383b17a82f1e066ce781458b19a822686cd9-341224b5af639c8a43e656239d1009776eeb24b6,2009-05-20 00:00:00,2009-08-18 00:00:00,0.0,24.0,68,0.384615384615385,3.0,11.0,773.0,144,1108,11.0,3624,290
20,a0ac9a1758e171f6fd336c1af3eb67b0fd8981d7-cd238fe0317eb27e5d0b6bcf26d6f02e8be36de9,2009-08-18 00:00:00,2009-11-15 23:00:00,0.0,21.0,92,0.32258064516129,3.0,12.0,392.0,166,770,12.0,617,113
21,4954a2fd799a594594d87e554950747f8d556afe-179307725ef10dda6815a5afc79e6366c0d7518a,2009-11-15 23:00:00,2010-02-13 23:00:00,0.0,8.0,68,0.272727272727273,3.0,9.0,443.0,126,664,8.0,643,42
22,6e55e9c396ab27e2e1f4fa2c1fa900c5236f43f7-2574f5e644645e03d0fe07419ad5457d83d60066,2010-02-13 23:00:00,2010-05-15 00:00:00,0.0,8.0,77,0.333333333333333,3.0,10.0,400.0,164,832,8.0,199,71
23,ca9270c0a4c0e480744754c2a4a1cbabce13cb0e-17d435bfd4f4ff3755190c7c80b2d592078f4c4b,2010-05-15 00:00:00,2010-08-13 00:00:00,1.0,8.0,85,0.428571428571429,3.0,9.0,190.0,140,560,8.0,964,353
24,4d7438f7c539ae5132c71d8925442d259e2afdc4-d234378c19624268ccb14af0e4dfb3966fe140b1,2010-08-13 00:00:00,2010-11-10 23:00:00,0.0,9.0,64,0.1,3.0,6.0,409.0,121,696,6.0,595,128
25,0bcd6d44031f00c0d1712fa91a0097d409b771f4-454a02f3ff8b38d9acb01983a13495ea88e81624,2010-11-10 23:00:00,2011-02-08 23:00:00,0.0,9.0,59,0.4,3.0,9.0,337.0,124,578,9.0,150,53
