,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
1,f646e34f614ca93b7ca3319834582422b5f07a8b-57113a0329c5c4aaa5347fc270df311a68fe0773,2003-11-29 23:00:00,2004-02-27 23:00:00,1.0,1.0,30,0.0,3.0,2.0,5.0,74,1210,1.0,0,0
2,ee951b16093bdbfc264108732cd894e83097d3ab-34b0e98e97fead5f2319e6b3579e069df851b60a,2004-02-27 23:00:00,2004-05-28 00:00:00,0.0,1.0,39,0.0,3.0,2.0,11.0,87,1552,2.0,0,0
3,4e0e3236d93b4e8acaff1b841f7bb423401ef30e-975e9491d8c12a71cb634b1e0f966235bc2b8af5,2004-05-28 00:00:00,2004-08-26 00:00:00,4.0,6.0,25,0.25,3.0,6.0,210.0,82,1992,4.0,31,0
4,24ce8263d949bed3ca4bd39f8f7d854c73462dca-aa438b8137717e9c812dfd79743167d898cebed6,2004-08-26 00:00:00,2004-11-23 23:00:00,7.0,9.0,25,0.1,3.0,5.0,102.0,71,1346,3.0,3,0
5,fe59dcf689f708fec853489f53e856001858254a-e3a52cbb18001cdc6ebc06f111b80baa852d1a99,2004-11-23 23:00:00,2005-02-21 23:00:00,11.0,14.0,40,0.0666666666666667,3.0,7.0,221.0,76,1044,4.0,0,0
6,9962c4931d5e258db3dc84dd80c4fc9aa695f68f-934763d0ad48b1605ccb17201e3e70a55a7ad6ad,2005-02-21 23:00:00,2005-05-23 00:00:00,7.0,9.0,188,0.1,3.0,6.0,555.0,288,2525,3.0,5,0
7,6a630346a22f5647a04f8033ad0c1e50f65dfe37-dbfa3f51db4029dbef72588067941d65e4cd7cf5,2005-05-23 00:00:00,2005-08-21 00:00:00,11.0,17.0,240,0.227272727272727,3.0,8.0,454.0,426,4299,6.0,8,0
8,34e167076d34f64e3f7abd71b052573b7cefbf29-2da90eece1f0c32e98db424d3990f9445a48ba0a,2005-08-21 00:00:00,2005-11-18 23:00:00,15.0,22.0,328,0.352941176470588,3.0,11.0,647.0,596,6639,9.0,0,0
9,88091f6d63a62d6c287e0634db077fbbf8ade4c7-51b55e42ff29962efdfdf3426674754e0407878b,2005-11-18 23:00:00,2006-02-16 23:00:00,4.0,7.0,331,0.0,3.0,5.0,89.0,674,5788,4.0,0,0
10,5395710ce05a496cd10d40ca2707b80348e61048-65b412ea17f80c2b9725ed7dc2c1bf0b6c810949,2006-02-16 23:00:00,2006-05-18 00:00:00,4.0,7.0,206,0.3,3.0,7.0,78.0,394,1847,6.0,0,0
11,c2296be700111d244b77979c119e3225921d0c23-7c43aa27d76581ca0d19d6a482f4e0f023ef9fbb,2006-05-18 00:00:00,2006-08-16 00:00:00,7.0,12.0,128,0.0769230769230769,3.0,7.0,109.0,247,1029,5.0,0,0
