,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,c64c2ca062ea353fdce8197f45a6fcc7e1d98a38-979d2340e93eaaa9f273a100dbe78e42ea9ed400,2006-05-02 00:00:00,2006-07-31 00:00:00,8.0,9.0,42,0.0,3.0,5.0,1444.0,42,68,2.0,962,0
1,f279a6790b13829dda3c0c741bd6f97a93159dc4-971c846c1047ce96e06a576ecf5d6ef186db6f68,2006-07-31 00:00:00,2006-10-29 00:00:00,10.0,12.0,44,0.0769230769230769,3.0,6.0,574.0,87,400,3.0,6,6
2,d54ad1c46b9b3b64aadebfbcdccaf15b08a35e2d-2c5377f687d087b94b56bfb5e3b2b5ba4fd3d684,2006-10-29 00:00:00,2007-01-26 23:00:00,15.0,17.0,101,0.0555555555555556,3.0,8.0,233.0,113,388,3.0,19,0
3,74823f7cd073325590ba79e8bc12de02832577ab-b2beaec63446c937b69de2e73d2b7acda96b1549,2007-01-26 23:00:00,2007-04-27 00:00:00,19.0,25.0,122,0.0384615384615385,3.0,9.0,953.0,203,941,5.0,8,0
4,43c931014a4719ccebab8e7cd6173d45ee6bcaaf-7a6a81d713316ade9771ac825db7ccaaa16d1283,2007-04-27 00:00:00,2007-07-26 00:00:00,5.0,8.0,136,0.333333333333333,3.0,7.0,196.0,230,554,5.0,21,0
5,747226b1d6dc6d57fd28332b4c2a4b0c4ad7a59c-61c789dbafbf174d3089d28c83646d0f56704c97,2007-07-26 00:00:00,2007-10-24 00:00:00,11.0,15.0,167,0.25,3.0,10.0,294.0,224,732,5.0,10,1
6,cb2a061dc7b46245b5ff4ee2478ffdb848a01315-92d1334e52ad95bc637260eb60b32b03598e61b8,2007-10-24 00:00:00,2008-01-21 23:00:00,6.0,9.0,178,0.25,3.0,9.0,129.0,201,400,5.0,14,1
7,4d9a6759db880b67adf9cd233528da021524dc99-016f0bf61ecbfcacbbfe94a7bf5f3754440f7245,2008-01-21 23:00:00,2008-04-21 00:00:00,8.0,10.0,170,0.333333333333333,3.0,9.0,191.0,186,433,6.0,208,0
8,2ba16b488a9bd2fcab2865871e469a00f1dd5b1c-c7e78fc80dc0a37f48de261b67f4ccba50338c5e,2008-04-21 00:00:00,2008-07-20 00:00:00,5.0,7.0,120,0.3,3.0,6.0,139.0,172,513,4.0,11,1
9,4c0bf1be10ca50cf8a02fb2e7c58ff52f862ca5f-16e7a11f8197ee21fe1ed15a46a7535432972fb6,2008-07-20 00:00:00,2008-10-18 00:00:00,7.0,16.0,128,0.157894736842105,3.0,10.0,90.0,169,482,8.0,4,1
10,e2388e9b3cb5f983623c968459d36a4d8c81c59c-696388049b3a89248e265af7274bdb298ab91e0a,2008-10-18 00:00:00,2009-01-15 23:00:00,6.0,11.0,105,0.266666666666667,3.0,9.0,324.0,141,451,5.0,6,0
11,a09954b754fd34fa0fbd48b4efe4c8811c07992c-9696252e4db87c33090e488e95331a1551bafac4,2009-01-15 23:00:00,2009-04-16 00:00:00,8.0,17.0,138,0.260869565217391,3.0,8.0,482.0,210,831,6.0,31,1
12,52391487639b5d75c00059e845a50e56f4547792-6dd615ebc3ad41f462ce248c0e29608e239a16d1,2009-04-16 00:00:00,2009-07-15 00:00:00,8.0,13.0,104,0.518518518518518,3.0,9.0,218.0,158,724,7.0,31,1
13,364ea73d6f53c9e9369c43701907d75a1b436cc6-f74e98808838fd02f31b1fb4856821920b1df536,2009-07-15 00:00:00,2009-10-13 00:00:00,16.0,27.0,97,0.181818181818182,3.0,11.0,261.0,142,811,7.0,32,0
14,05d2a8041782f2531caaeb372ba610be18e5704a-5cef9cff179bc021c3a0a075dbb167db0aed3039,2009-10-13 00:00:00,2010-01-10 23:00:00,11.0,20.0,103,0.130434782608696,3.0,9.0,227.0,147,481,6.0,26,9
15,0efea474f226749a971077a592090cd7a4b86648-dab906385e2723423d5b9c243457ed2befc034cb,2010-01-10 23:00:00,2010-04-11 00:00:00,27.0,33.0,82,0.282608695652174,3.0,12.0,360.0,145,968,7.0,24,0
16,85b89a8701186b7b8587a45efb04298357aeddf1-2fa5556c0daf13cb63b037492e74ad4051aa671c,2010-04-11 00:00:00,2010-07-10 00:00:00,10.0,10.0,67,0.375,3.0,11.0,228.0,110,455,6.0,194,0
17,fc63143dfe528e9afbf68aca93f1ce2ba864a2ae-426dce38672b3d6c117e3cba912d83bc1b69ec9a,2010-07-10 00:00:00,2010-10-08 00:00:00,11.0,13.0,61,0.277777777777778,3.0,11.0,215.0,109,500,7.0,19,0
18,ea0a44edd3317bbf7d9f4ffbe3845e75bec34fca-0549627bd29e9fcd8f1e3f3d6f796db05fdbc8d2,2010-10-08 00:00:00,2011-01-05 23:00:00,14.0,15.0,86,0.117647058823529,3.0,11.0,182.0,103,440,5.0,9,0
19,06c3ec64586a862f056b8dd951db890dcba2a582-2d232cf4c0f6aaa33dc911610ee098cab0320dbb,2011-01-05 23:00:00,2011-04-06 00:00:00,4.0,4.0,102,0.428571428571429,3.0,7.0,84.0,122,426,4.0,6,0
20,985a59afbdfcc7ce59b712f807e5751407483d80-8a85ffb402d9c6b4bb46772d0418780202cbf0d5,2011-04-06 00:00:00,2011-07-05 00:00:00,12.0,12.0,62,0.333333333333333,3.0,9.0,77.0,103,236,4.0,8,0
21,928aa703cba0e665bee997ba2b05703905bd0890-236f409a91ba4423f6ea27045009f29877469c9d,2011-07-05 00:00:00,2011-10-03 00:00:00,3.0,4.0,80,0.333333333333333,3.0,8.0,51.0,80,211,3.0,2,0
