,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
1,7f243f87cb4f470b9f4773321c52f2eb70bcdd0b-623a0af37723377676f57213cf74b1a909c23272,2008-05-10 01:00:00,2008-08-08 01:00:00,0.0,0.0,17,1.0,3.0,1.0,452.0,17,92,1.0,0,0
2,424db0fd00371634a8998f13e5052f67b182589d-ced5ef540789d5ac437135b88d50e1f0141a8025,2008-08-08 01:00:00,2008-11-06 00:00:00,0.0,0.0,37,1.0,3.0,2.0,1568.0,37,116,2.0,0,0
3,3ff38ac343c4a623193ec4fe8127c7ee286e652a-a67b14c6f5ad31f68a952b07121f7c4eaf6c296f,2008-11-06 00:00:00,2009-02-04 00:00:00,0.0,2.0,44,0.6,3.0,4.0,45.0,44,236,4.0,0,0
4,fb378e66b3688538089e48d1d3cb253f42adf53d-4b428fa6df260554f30658c3a5df9c9a888cc1c1,2009-02-04 00:00:00,2009-05-05 01:00:00,0.0,2.0,39,0.333333333333333,3.0,4.0,77.0,75,386,4.0,0,0
5,3c011db93f4e372f32ed34b996b2f82a8928bacf-1ebacc74bdd98ab7f3ee65c61f4f5c7b995cc450,2009-05-05 01:00:00,2009-08-03 01:00:00,1.0,1.0,63,0.0,3.0,3.0,86.0,72,215,2.0,0,0
6,e8573833b589bd7b650364e18cc1182a0c54f052-89940264d8b286e8720e2ce6c1a2ba527ba0f732,2009-08-03 01:00:00,2009-11-01 00:00:00,0.0,3.0,54,0.5,3.0,4.0,126.0,96,374,4.0,0,0
7,5aadbc34397f6c700e0b6037954896d35fd74ba5-7edb7c64c13740b3019435b47ecddaee60acc8e0,2009-11-01 00:00:00,2010-01-30 00:00:00,0.0,1.0,82,0.0,3.0,2.0,95.0,100,334,2.0,0,0
8,ee2075e24cf2e46b52672aa8c37490bd1a083c3c-452889f24f71c11e9e98b5a3c863ae30e868acda,2010-01-30 00:00:00,2010-04-30 01:00:00,0.0,4.0,70,0.5,3.0,5.0,605.0,128,631,5.0,61,0
9,4ceb8464dec4df96f49b329e48b29a9f70fdda5d-d7eb9679f5fa04aa35d4449ed4fe9d3e467713a6,2010-04-30 01:00:00,2010-07-29 01:00:00,0.0,1.0,114,0.0,3.0,4.0,86.0,125,454,4.0,1,0
10,8c6f34f495f322378617c6e02a0d4f1a86e1bd55-c1dc6a29c56f6579dc244dd288ae781485cb49b8,2010-07-29 01:00:00,2010-10-27 01:00:00,0.0,5.0,129,0.166666666666667,3.0,4.0,115.0,139,536,4.0,6,0
11,c0bed05f139f8bbf5c4357e0a909f692c756f4e6-a9da9b93f2029c14bc1b63d85260b07af5092352,2010-10-27 01:00:00,2011-01-25 00:00:00,0.0,1.0,126,0.0,3.0,2.0,56.0,133,451,2.0,0,0
12,a7f8dec18c1ade45e2ab25935f1b4892686bb049-7a70bf68a9a492d88cfd1eeadfe724daa7ee6848,2011-01-25 00:00:00,2011-04-25 01:00:00,0.0,1.0,128,0.0,3.0,2.0,68.0,128,354,2.0,4,0
13,0a29715ec020305c44ae36c191e765c9a239fe0d-6d4fff188a70148945814f747909b37d908ee692,2011-04-25 01:00:00,2011-07-24 01:00:00,0.0,1.0,95,0.0,3.0,2.0,48.0,139,448,2.0,10,0
14,711c4f2339022e6788a7ac86df5cd7c54d1fcdab-363cf0b76ee7eba0fef34c61ec14150dcf8040a5,2011-07-24 01:00:00,2011-10-22 01:00:00,0.0,4.0,131,0.0,3.0,5.0,248.0,169,379,5.0,3,0
15,82c6c19dd7baad5fc52d76d6e80d242491d0c03c-cb4176382f242d137df5d36776b19a6529a04733,2011-10-22 01:00:00,2012-01-20 00:00:00,1.0,2.0,147,0.0,3.0,5.0,140.0,172,367,4.0,7,0
16,9cef134d802594c936a684c11690adfe370ffd8d-c1f21206cdb5a5b60085fb6b03a2368d486d20a9,2012-01-20 00:00:00,2012-04-19 01:00:00,0.0,2.0,183,0.0,3.0,5.0,98.0,227,443,5.0,8,0
17,9737a662017203923ce60381ded7ac1c8c45efb2-08cfbdd414514dba2f83f1156bc91281a42c87bf,2012-04-19 01:00:00,2012-07-18 01:00:00,0.0,4.0,88,0.0,3.0,6.0,208.0,133,433,6.0,96,0
18,f7a666adfb92489249b9d943a5323d47d2b29498-4b44b7d9c7b74eeeca3121b524b0c1d7dbb75bd3,2012-07-18 01:00:00,2012-10-16 01:00:00,0.0,1.0,85,0.0,3.0,4.0,234.0,112,331,4.0,0,0
19,c190a33c48f4816c849327304c66cbe41b984dd2-c796d7ada08a35c6101c6636b6d423d34791708d,2012-10-16 01:00:00,2013-01-14 00:00:00,1.0,2.0,106,0.0,3.0,4.0,172.0,124,392,3.0,0,0
20,aa86ced98b099476d0d88b5394218925284e39a5-f781f1fc3b04c6ab1f61b2ce2aae8c2d6a309d88,2013-01-14 00:00:00,2013-04-14 01:00:00,0.0,4.0,144,0.0,3.0,4.0,314.0,157,532,4.0,5,0
21,eed6a8dcff235dd7d3836ca4817a0449502fee2d-dc1a6303d82381c2d80d3b5570bab1020c266f38,2013-04-14 01:00:00,2013-07-13 01:00:00,0.0,3.0,101,0.0,3.0,4.0,68.0,167,613,4.0,0,0
22,8678a20c23a0211e3c7b2477abcc28bf12db3883-ec64e51f067ce95786f2bed700152b106476df33,2013-07-13 01:00:00,2013-10-11 01:00:00,0.0,1.0,81,0.0,3.0,4.0,81.0,131,593,4.0,5,6
23,e9e3679faadd3ea0ff7d63d3609a15407a1835c7-0a191870bf9cbe65b931edf79454b171734ac972,2013-10-11 01:00:00,2014-01-09 00:00:00,0.0,1.0,98,0.0,3.0,5.0,98.0,160,684,5.0,15,0
24,7dee2db0db082c36d1d513f4c3b4ceebf1fc42a2-1e57f4ed2b335b5621098374c966b212982d4c06,2014-01-09 00:00:00,2014-04-09 01:00:00,0.0,6.0,115,0.333333333333333,3.0,5.0,559.0,215,1817,5.0,37,1
25,0f2db4094d1ff9b8862f739384d45306e3e37055-1e31ff9ae910835a83c489d1e7cfd11629fd2b46,2014-04-09 01:00:00,2014-07-08 01:00:00,0.0,7.0,68,0.363636363636364,3.0,6.0,338.0,158,1619,6.0,9,0
26,87394cac56bcebad50c636f917491ee0a0ad6e80-b517f29b6d52c9d606c48333b6e8641c36f28b33,2014-07-08 01:00:00,2014-10-06 01:00:00,0.0,3.0,79,0.5,3.0,4.0,541.0,163,1793,4.0,30,0
27,e35a9312caee420e818ad06a6134664fd86faa34-2545182f942e4df16c2416c02c5e1adec14c6cfc,2014-10-06 01:00:00,2015-01-04 00:00:00,0.0,2.0,84,0.666666666666667,3.0,4.0,479.0,164,1993,4.0,18,0
28,1399144bba46d314bd9443cffac577e9659ec2ab-5a08cdbaf6447ecf1fd170e97f36fbd9ba766ff9,2015-01-04 00:00:00,2015-04-04 01:00:00,0.0,4.0,92,0.5,3.0,5.0,614.0,180,1448,5.0,6,0
29,38a935da475db2461c7b3ecd94df3d11ee0e7792-ce6f2e4f212f6d0360b164fbb9f58339fab9c558,2015-04-04 01:00:00,2015-07-03 01:00:00,0.0,3.0,65,0.5,3.0,4.0,438.0,124,1122,4.0,12,0
30,8b67152c64e6c00efc3ff14c5fbd9598f8bdf81c-58e0fee3f191d9348340aa55a22ecfd2a1c8c880,2015-07-03 01:00:00,2015-10-01 01:00:00,0.0,4.0,87,0.6,3.0,5.0,458.0,159,1121,5.0,16,0
31,905127a9d32a2007036577419c503d2de50cceb8-10ebc87c6fbaab1582194c8493f8046e0940a6ed,2015-10-01 01:00:00,2015-12-30 00:00:00,0.0,4.0,98,0.5,3.0,6.0,212.0,194,1246,6.0,2,0
32,b0bc2034937ac900411ed073dc6fd471c68cad7a-f33843983afd4ca72790ac5cd0e24ecc67be44b5,2015-12-30 00:00:00,2016-03-29 01:00:00,0.0,1.0,90,0.666666666666667,3.0,4.0,123.0,174,893,4.0,2,0
33,d8f1f126f8b74356017c1e2378d3259730675e54-c204ba8fa13beceb6194e18074b4ba53c93150de,2016-03-29 01:00:00,2016-06-27 01:00:00,0.0,1.0,85,0.75,3.0,4.0,150.0,155,819,4.0,15,0
34,336f9b65ec8c5dc8f2cbf1c838e714c47785ba7a-ed4c65547f21694ccd693c21a270dbe057f21ad7,2016-06-27 01:00:00,2016-09-25 01:00:00,1.0,1.0,78,0.75,3.0,4.0,191.0,148,918,3.0,1,0
35,3780a2d2ec55d5d9f8de259d4826a1c35c1e4b1e-f35947e6696fc3e6578544b951bd42fefd530d1e,2016-09-25 01:00:00,2016-12-24 00:00:00,0.0,2.0,93,0.5,3.0,4.0,106.0,174,913,4.0,0,0
36,dfc6f3cd911a2b30409eef767641435b02e50d1b-7c7ed5a56ac440c9a9392c47b0f240426540a61d,2016-12-24 00:00:00,2017-03-24 00:00:00,1.0,1.0,77,0.5,3.0,3.0,116.0,137,640,2.0,1,0
37,2158eb9a4104030f743797063880bd87ec468c19-3cb491b856ed046e04d02211f6c545db4977adfc,2017-03-24 00:00:00,2017-06-22 01:00:00,0.0,2.0,83,0.333333333333333,3.0,4.0,342.0,149,811,4.0,2,0
38,b0b8b9fceb0ac52387b1ac883994ed907c635650-435413e2a9f63801df4b8690cd66a6b9dbcfd2f7,2017-06-22 01:00:00,2017-09-20 01:00:00,0.0,1.0,72,0.0,3.0,3.0,100.0,128,733,3.0,0,0
39,39ccfa2cf9290770726633f82ba83ba3860f2202-019a96b4293ab518ed0ac21d1c9a3b5408507b20,2017-09-20 01:00:00,2017-12-19 00:00:00,0.0,1.0,69,0.0,3.0,3.0,92.0,123,714,3.0,6,0
40,c1bee300ae02ca757dd97916be0d9fb6e542e4ae-c87ea3a7f2ad4ac6e0dae23c79eed487cb3bffff,2017-12-19 00:00:00,2018-03-19 00:00:00,0.0,2.0,88,0.333333333333333,3.0,3.0,291.0,160,905,3.0,47,0
41,09e83941cf190ab1e073dc5807e62d57858f2cf0-0edd54a6b3d98d89b329e86d45a60505a64305e5,2018-03-19 00:00:00,2018-06-17 01:00:00,0.0,5.0,94,0.166666666666667,3.0,4.0,146.0,159,780,4.0,3,0
