,commit_interval,start_datetime,end_datetime,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs,SATD_added_num,SATD_removed_num
0,4f61a133e020138d8e7620d05b6339ec586092e7-e43735a6ef5130ef3c068cd7dac124e34d4f0b4e,2015-08-15 00:00:00,2015-11-12 23:00:00,41.0,41.0,9.0,0.0238095238095238,5.0,11,1671,9.0,182.0,2.0,0,0
1,27c4099e8c46085f57c21f586e5c25dc92fb1bb8-b93cfe5b42494daa8e8df39fa172cf6718d3b9e4,2015-11-12 23:00:00,2016-02-10 23:00:00,5.0,7.0,32.0,0.666666666666667,5.0,9,1725,32.0,267.0,7.0,0,0
2,ce9392741876708494f4657639debbe8a90430c7-59c1e55408188a21cc83aadad1403b31572cb8f7,2016-02-10 23:00:00,2016-05-11 00:00:00,4.0,15.0,32.0,0.210526315789474,4.0,10,442,32.0,281.0,8.0,0,0
3,69acc217d2dc68d0c90b801a595a1579707b46d6-b62a67c0e658f1f93146a9b6609d9b0447f311d1,2016-05-11 00:00:00,2016-08-09 00:00:00,13.0,14.0,31.0,0.363636363636364,4.0,10,278,31.0,291.0,6.0,0,0
4,f02f7c018b221384b5e02b13ac181122853f65ba-638eabe8b33b02e333d8e5471c43e4c4df2c0818,2016-08-09 00:00:00,2016-11-06 23:00:00,9.0,20.0,40.0,0.310344827586207,6.0,10,232,40.0,366.0,8.0,0,0
5,f18885a4257bca770524085f503e712762e8942f-e2492fb61665fe55a0ccee34116c10bf84f38fbf,2016-11-06 23:00:00,2017-02-04 23:00:00,1.0,1.0,34.0,0.916666666666667,4.0,8,687,34.0,272.0,7.0,0,0
6,37a215bc3be26495c351eae6be4b85eaf22daedc-abc9686fbaaa11c12cfa02c49c7675165acdf176,2017-02-04 23:00:00,2017-05-06 00:00:00,0.0,3.0,35.0,0.7,6.0,7,507,35.0,524.0,7.0,0,0
7,44d7a88576dccce0bc2262588eb25cb521ca739d-b706083282e75203d57c72ef138a284078fd33b2,2017-05-06 00:00:00,2017-08-04 00:00:00,7.0,16.0,36.0,0.407407407407407,4.0,11,425,40.0,390.0,9.0,0,0
8,9da5eab00efa86d1f135664dc7458e5f04c0097e-cb1d792826411b144909b2168929c4f33620b02a,2017-08-04 00:00:00,2017-11-01 23:00:00,5.0,10.0,31.0,0.545454545454545,6.0,12,736,31.0,262.0,9.0,0,0
9,a2f0598c606db16e75790cdbc3dbe37dc32d89a0-91f6fb57293d9adf15714dc55c0bba962aefd107,2017-11-01 23:00:00,2018-01-30 23:00:00,0.0,0.0,20.0,1.0,5.0,5,503,22.0,226.0,5.0,0,0
10,9c3057a34c84d5bf1c698ad0a5c3c34d90412dbb-18d98b61e55e71a2da51a5f0a855c98beacbcdd7,2018-01-30 23:00:00,2018-05-01 00:00:00,4.0,6.0,19.0,0.142857142857143,4.0,5,689,19.0,277.0,3.0,0,0
11,d74bda4c3474cff0296f792a7c136859d38d8348-b586d16913196276d5bbd0c0828389aed7e4d9e3,2018-05-01 00:00:00,2018-07-30 00:00:00,9.0,10.0,17.0,0.0,3.0,7,306,17.0,220.0,2.0,0,0
12,252e498394536c496d4d27292d95f35ee043dc69-0df8a0f937833dad89a508d8a98beceaa44853ea,2018-07-30 00:00:00,2018-10-28 00:00:00,4.0,4.0,14.0,0.5,4.0,6,2043,14.0,40.0,4.0,0,10
13,f7fc5d3929d351120a8ab984cd52c4784fd2ac56-14a79af677979f80f10328e67767822f6d43d2ff,2018-10-28 00:00:00,2019-01-25 23:00:00,1.0,2.0,8.0,0.0,6.0,4,725,7.0,16.0,3.0,2,9
14,3d09c4b1621ef8f7db3841da1e7d36d64298aef1-7506ed8225359d1a40fc6b0b2962ece28fadb3e2,2019-01-25 23:00:00,2019-04-26 00:00:00,3.0,4.0,11.0,0.0,6.0,5,102,11.0,110.0,2.0,0,0
15,a5062cd44a22e962db7cdac7eeeaacecb6d8ccb7-c4ebdbeedc9a2a65b6bc4128f40f37e5c8b4a666,2019-04-26 00:00:00,2019-07-25 00:00:00,11.0,11.0,3.0,0.0,3.0,6,102,2.0,4.0,0.0,16,12
16,706c754435cdab857783d9efe565175b6479b47b-93c419e252a00193a93ecaeb73f2344b22f8fd30,2019-07-25 00:00:00,2019-10-23 00:00:00,24.0,24.0,6.0,0.0,4.0,9,501,6.0,8.0,1.0,385,216
17,1af9ff3efe8ec8239ddf049cf0af95573efe0670-1a5cd082c9e019a86c224a5fba30754b04663eec,2019-10-23 00:00:00,2020-01-20 23:00:00,10.0,10.0,6.0,0.0,4.0,7,177,6.0,6.0,1.0,49,19
18,e1ec0b0a8daf0677c15240f6cd4ff2011bf7db5b-9bd68ffc5d211583a2ebcfe5be514abf4cc29b69,2020-01-20 23:00:00,2020-04-20 00:00:00,28.0,28.0,5.0,0.0,3.0,15,3072,5.0,127.0,1.0,128,58
19,cf74661016928e3413d693f939a67964f3256b19-1b3e86292631c62a532030144be26fbe6eb46f2d,2020-04-20 00:00:00,2020-07-19 00:00:00,34.0,34.0,10.0,0.0,3.0,15,366,10.0,433.0,1.0,213,94
20,4ddf1afe16a5ae1c1ba6280925d20e45a8bcce23-76a79629db740572a0f7af116fce5afddc9f4f28,2020-07-19 00:00:00,2020-10-17 00:00:00,,,,,,16,336,,,,125,112
21,0dc27cfa8572d20abd697797440da45c5c261e2c-67d876a0ca19c808a51d8e8db8b407aeced23250,2020-10-17 00:00:00,2021-01-14 23:00:00,,,,,,16,285,,,,104,82
22,225d46859fbd0850dd0e8f65a867180110b74c60-f10eb03821dbc30bcec731b2cc93125ec39ea3ff,2021-01-14 23:00:00,2021-04-15 00:00:00,,,,,,24,518,,,,121,68
23,bea72cbc3b37bfae68b8082952dc4c52ae1c58fc-22b64f7bb2033d6095ecdb1c43ef0c64160d7e80,2021-04-15 00:00:00,2021-07-14 00:00:00,,,,,,20,591,,,,179,134
24,47c5dda36b6bce3615d2f839528a3fa063d00f1d-94b0d114be2b4d3e667c3686cabf1b2e2bf25cf5,2021-07-14 00:00:00,2021-10-12 00:00:00,,,,,,20,386,,,,92,43
25,b6c076db6a812ce16f323fda4f0847660910c43f-b1d19bee87989aaccbbc74a9be5161a7097196b2,2021-10-12 00:00:00,2022-01-09 23:00:00,,,,,,15,330,,,,92,70
26,d1e1068d067b02e19477ec7c3cd43e76d920b4ce-985e4916facdda74fccfc219fec64e8b3bfcadd3,2022-01-09 23:00:00,2022-04-10 00:00:00,,,,,,17,345,,,,89,61
