,Project,Commit,File,Method,CommentType,#Parameters_x,NLOC_x,Complexity_x,NLOC_slope,Params_slope,Complexity_slope,pmd_warnings_numbers,checkstyle_warnings_numbers
0,openjpa,720869a4e0470265afb67def2e33b9c7e5801a0a,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,"XMLPersistenceMetaDataSerializer::SerializationComparator::compare( QueryMetaData o1 , QueryMetaData o2)",Not SATD,2.0,9.0,3.0,0.0,0.0,0.0,,
1,openjpa,720869a4e0470265afb67def2e33b9c7e5801a0a,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,"XMLPersistenceMetaDataSerializer::SerializationComparator::compare( SequenceMetaData o1 , SequenceMetaData o2)",Not SATD,2.0,3.0,1.0,0.0,0.0,0.0,,
2,openjpa,720869a4e0470265afb67def2e33b9c7e5801a0a,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,"XMLPersistenceMetaDataSerializer::SerializationComparator::compare( Object o1 , Object o2)",Not SATD,2.0,27.0,10.0,0.0,0.0,0.0,,
3,openjpa,30c443dcc32fdc43b75431c9579f8ca415421d17,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/property/TestEMProperties.java,TestEMProperties::testQueryTimeoutPropertySetOnEntityManager(),Not SATD,0.0,9.0,1.0,,,,,
4,openjpa,30c443dcc32fdc43b75431c9579f8ca415421d17,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/property/TestEMProperties.java,TestEMProperties::testQueryTimeoutPropertyOnEntityManagerCreation(),Not SATD,0.0,10.0,1.0,,,,,
5,openjpa,f8d258594f55cdf06db16f2321a6ae6c6342616e,openjpa-tools/openjpa-maven-plugin/src/it/sqlActionRefresh/src/test/java/org/apache/openjpa/tools/maven/test/ItRefreshSchemaTest.java,ItRefreshSchemaTest::testSqlGeneration(),Not SATD,0.0,9.0,2.0,,,,1.0,12.0
6,openjpa,cb4e47b82c5ebd308a4ff6f049c353b0dbfbcf2f,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,TableJDBCSeq::CurrentSequenceRunnable::run(),Not SATD,0.0,16.0,4.0,-0.127272727272727,0.0,0.0,2.0,7.0
9,openjpa,1fb5234574994dd1ec023a04ffbbe042831d22bc,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,"SelectImpl::getColumnAlias(Column col,PathJoins pj)",Not SATD,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0
10,openjpa,1fb5234574994dd1ec023a04ffbbe042831d22bc,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,SelectImpl::PathJoinsImpl::getSelect(),Not SATD,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
11,openjpa,1fb5234574994dd1ec023a04ffbbe042831d22bc,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java,"ExpressionStoreQuery::InMemoryExecutor::getOrderingValue( StoreQuery q , Object [ ] params , Object resultObject , int orderIndex)",Not SATD,4.0,15.0,4.0,0.0,0.0,0.0,2.0,12.0
12,openjpa,1fb5234574994dd1ec023a04ffbbe042831d22bc,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/MultiLogFactory.java,MultiLogFactory::getDelegates(),Not SATD,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0
