,Project,Commit,File,Method,CommentType,#Parameters,NLOC,Complexity,NLOC_slope,Params_slope,Complexity_slope,pmd_warnings_numbers,checkstyle_warnings_numbers
2881,systemml,0545ad9a85d80bc972c37a8a6da25a1d79ac99eb,src/main/java/org/apache/sysds/runtime/matrix/data/LibMatrixAgg.java,"LibMatrixAgg::aggregateBinaryMatrixLastRowDenseGeneric( MatrixBlock in , MatrixBlock aggVal)",Not SATD,2.0,26.0,7.0,,,,2.0,53.0
2882,systemml,0545ad9a85d80bc972c37a8a6da25a1d79ac99eb,src/main/java/org/apache/sysds/runtime/matrix/data/LibMatrixAgg.java,"LibMatrixAgg::aggregateBinaryMatrix( MatrixBlock in , MatrixBlock aggVal , AggregateOperator aop)",Not SATD,3.0,15.0,9.0,,,,7.0,59.0
2883,systemml,0545ad9a85d80bc972c37a8a6da25a1d79ac99eb,src/main/java/org/apache/sysds/runtime/matrix/data/LibMatrixAgg.java,LibMatrixAgg::AggTernaryTask::call(),Not SATD,0.0,10.0,5.0,,,,2.0,21.0
2884,systemml,0545ad9a85d80bc972c37a8a6da25a1d79ac99eb,src/main/java/org/apache/sysds/runtime/matrix/data/LibMatrixDNN.java,"LibMatrixDNN::poolingBackward( MatrixBlock input , MatrixBlock dout , MatrixBlock outputBlock , DnnParameters params , boolean performReluBackward , PoolingType poolType)",Not SATD,6.0,24.0,11.0,,,,2.0,66.0
2885,systemml,0545ad9a85d80bc972c37a8a6da25a1d79ac99eb,src/main/java/org/apache/sysds/runtime/matrix/data/LibMatrixDNNConv2d.java,LibMatrixDNNConv2d::LoopedIm2ColConv2dTransAllChan::call(),Not SATD,0.0,16.0,3.0,,,,2.0,46.0
2886,systemml,0545ad9a85d80bc972c37a8a6da25a1d79ac99eb,src/main/java/org/apache/sysds/runtime/matrix/data/LibMatrixDNNPooling.java,"LibMatrixDNNPooling::PoolingBackwardSparseDense::maxpoolingBackwardDense( int [ ] maxIx , int outOffset , int n , int c , int C , int Q , int PQ , int CPQ)",Not SATD,8.0,7.0,2.0,,,,2.0,31.0
2887,systemml,0545ad9a85d80bc972c37a8a6da25a1d79ac99eb,src/main/java/org/apache/sysds/runtime/matrix/data/LibMatrixDNNPooling.java,"LibMatrixDNNPooling::add( SparseRow row , int index , double v)",Not SATD,3.0,9.0,3.0,,,,3.0,19.0
2888,systemml,0545ad9a85d80bc972c37a8a6da25a1d79ac99eb,src/main/java/org/apache/sysds/runtime/matrix/data/LibMatrixDNNPooling.java,LibMatrixDNNPooling::PoolingBackwardSparseDense::call(),Not SATD,0.0,24.0,4.0,,,,10.0,61.0
2889,systemml,0545ad9a85d80bc972c37a8a6da25a1d79ac99eb,src/main/java/org/apache/sysds/runtime/matrix/data/LibMatrixDNNPooling.java,"LibMatrixDNNPooling::PoolingBackwardSparseSparse::maxpoolingBackwardSparse( int [ ] maxIx , int offset , int n , int c , int C , int Q , int PQ , int CPQ)",Not SATD,8.0,22.0,7.0,,,,4.0,78.0
2890,systemml,c20e540095f0af30770f5f4558e93a0641c81f67,src/test/java/org/apache/sysds/test/functions/compress/compressScale.java,"compressScale::compressTest( int cols , int rows , double sparsity , LopProperties . ExecType instType , int min , int max , int scale , int center)",Not SATD,8.0,45.0,2.0,,,,9.0,93.0
