,Project,Branch,Commits Count
0,cxf,master,16098
1,ant-ivy,master,2997
2,isis,master,16711
3,camel,main,53126
4,syncope,master,6798
5,hadoop,trunk,24658
6,commons-csv,master,1642
7,mahout,trunk,4416
8,systemml,main,7347
9,drill,master,4015
10,solr,main,34515
11,maven,master,11352
12,shiro,main,1985
13,struts,master,5667
14,tez,master,2830
15,cassandra,trunk,15912
16,jclouds,master,9275
17,activemq-artemis,main,5262
18,jena,main,8176
19,pdfbox,trunk,10242
20,james-project,master,12067
21,openjpa,master,5207
22,cayenne,master,6398
23,wicket,master,20932
24,hbase,master,18632
25,maven-surefire,master,2971
26,derby,trunk,8269
27,phoenix,master,3466
28,httpcomponents-client,master,3253
29,commons-math,master,6698
30,giraph,trunk,1130
31,jackrabbit,trunk,8888
32,mina,trunk,2380
33,stanbol,trunk,3400
34,olingo-odata4,master,1701
35,sqoop,trunk,968
36,logging-log4j2,release-2.x,9599
37,axis-axis2-java-core,master,13751
38,calcite,main,4619
39,aries,trunk,5788
40,geode,develop,9964
41,jackrabbit-oak,trunk,17175
42,asterixdb,master,7484
43,hive,master,15260
44,hadoop-ozone,master,3722
45,knox,master,2488
46,lucene,main,34506
47,tinkerpop,master,13331
48,pig,trunk,3695
49,oozie,master,2362
