Commit,File,Commit-1,Commit-2,Commit-3,Commit-4,Commit-5,Commit-6,Commit-7,Commit-8,Commit-9
9e8955ede16e448d1c7199315345bc6f66b1e0f9,src/test/org/apache/hadoop/sqoop/AllTests.java,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,e7cf0ed69c3312b578056d82499a363d59d35b28,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6,dc191132a55fb130c8b503f53f95d7ecaafbfa2d,bf65299ba1769435915039b04b83bf93201a6597
37cadedc8fd99b6e592f69b743810c2bebb3a8ab,src/test/org/apache/hadoop/sqoop/AllTests.java,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,e7cf0ed69c3312b578056d82499a363d59d35b28,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6,dc191132a55fb130c8b503f53f95d7ecaafbfa2d
80714452373aea29632de8c0b0a64948f19bb211,src/java/org/apache/hadoop/sqoop/mapreduce/DataDrivenImportJob.java,80714452373aea29632de8c0b0a64948f19bb211,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,d427bca2de3e0e87573d01a90b14ca1ce4a2317c,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6,5e0450710863ba32f9e6bcf72dea6198058f2633,bf65299ba1769435915039b04b83bf93201a6597
4a689cf491ec805e60f401c8e81ab304aab4ee4f,src/test/org/apache/hadoop/sqoop/AllTests.java,4a689cf491ec805e60f401c8e81ab304aab4ee4f,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,e7cf0ed69c3312b578056d82499a363d59d35b28,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6
4a689cf491ec805e60f401c8e81ab304aab4ee4f,src/test/org/apache/hadoop/sqoop/SmokeTests.java,4a689cf491ec805e60f401c8e81ab304aab4ee4f,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,e7cf0ed69c3312b578056d82499a363d59d35b28,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6
4a689cf491ec805e60f401c8e81ab304aab4ee4f,src/test/org/apache/hadoop/sqoop/manager/OracleManagerTest.java,4a689cf491ec805e60f401c8e81ab304aab4ee4f,7e3284691d91b614821c4c94172a49a1042f7e99,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,120e06f0a072e6145c908c56a25b8dca107b2b6f,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6
93dab4998eb947504d303e2cf06ce4ba526060eb,src/java/org/apache/hadoop/sqoop/ImportOptions.java,93dab4998eb947504d303e2cf06ce4ba526060eb,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,d427bca2de3e0e87573d01a90b14ca1ce4a2317c,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6,dc191132a55fb130c8b503f53f95d7ecaafbfa2d,bf65299ba1769435915039b04b83bf93201a6597
93dab4998eb947504d303e2cf06ce4ba526060eb,src/java/org/apache/hadoop/sqoop/mapred/ImportJob.java,93dab4998eb947504d303e2cf06ce4ba526060eb,7e3284691d91b614821c4c94172a49a1042f7e99,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,d427bca2de3e0e87573d01a90b14ca1ce4a2317c,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6,5e0450710863ba32f9e6bcf72dea6198058f2633,bf65299ba1769435915039b04b83bf93201a6597
93dab4998eb947504d303e2cf06ce4ba526060eb,src/java/org/apache/hadoop/sqoop/mapreduce/DataDrivenImportJob.java,93dab4998eb947504d303e2cf06ce4ba526060eb,80714452373aea29632de8c0b0a64948f19bb211,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,d427bca2de3e0e87573d01a90b14ca1ce4a2317c,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6,5e0450710863ba32f9e6bcf72dea6198058f2633
93dab4998eb947504d303e2cf06ce4ba526060eb,src/test/org/apache/hadoop/sqoop/SmokeTests.java,93dab4998eb947504d303e2cf06ce4ba526060eb,4a689cf491ec805e60f401c8e81ab304aab4ee4f,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,e7cf0ed69c3312b578056d82499a363d59d35b28,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010
9afc7a8aee20568e3ac803d612074897386f4101,src/java/org/apache/hadoop/sqoop/ImportOptions.java,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,d427bca2de3e0e87573d01a90b14ca1ce4a2317c,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6,dc191132a55fb130c8b503f53f95d7ecaafbfa2d
9afc7a8aee20568e3ac803d612074897386f4101,src/java/org/apache/hadoop/sqoop/manager/LocalMySQLManager.java,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb,b34b2acc10e0e1d6292918042daf534c9d0bab3a,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,595bf13670b06d0261cf91560e056a3dcf1970b7,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6
ec8f687d9743eb097449a57f2921cf4d3b308f54,src/java/org/apache/hadoop/sqoop/ImportOptions.java,ec8f687d9743eb097449a57f2921cf4d3b308f54,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,d427bca2de3e0e87573d01a90b14ca1ce4a2317c,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6
ec8f687d9743eb097449a57f2921cf4d3b308f54,src/java/org/apache/hadoop/sqoop/manager/LocalMySQLManager.java,ec8f687d9743eb097449a57f2921cf4d3b308f54,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb,b34b2acc10e0e1d6292918042daf534c9d0bab3a,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,595bf13670b06d0261cf91560e056a3dcf1970b7
8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,src/java/org/apache/hadoop/sqoop/manager/LocalMySQLManager.java,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,ec8f687d9743eb097449a57f2921cf4d3b308f54,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb,b34b2acc10e0e1d6292918042daf534c9d0bab3a,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010
8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,src/java/org/apache/hadoop/sqoop/mapred/ImportJob.java,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,93dab4998eb947504d303e2cf06ce4ba526060eb,7e3284691d91b614821c4c94172a49a1042f7e99,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,d427bca2de3e0e87573d01a90b14ca1ce4a2317c,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6,5e0450710863ba32f9e6bcf72dea6198058f2633
8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,src/java/org/apache/hadoop/sqoop/mapreduce/DataDrivenImportJob.java,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,93dab4998eb947504d303e2cf06ce4ba526060eb,80714452373aea29632de8c0b0a64948f19bb211,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,d427bca2de3e0e87573d01a90b14ca1ce4a2317c,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6
8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,src/test/org/apache/hadoop/sqoop/SmokeTests.java,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,93dab4998eb947504d303e2cf06ce4ba526060eb,4a689cf491ec805e60f401c8e81ab304aab4ee4f,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,e7cf0ed69c3312b578056d82499a363d59d35b28,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed
8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,src/test/org/apache/hadoop/sqoop/manager/LocalMySQLTest.java,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,ec8f687d9743eb097449a57f2921cf4d3b308f54,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,b34b2acc10e0e1d6292918042daf534c9d0bab3a,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,120e06f0a072e6145c908c56a25b8dca107b2b6f,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6
8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,src/test/org/apache/hadoop/sqoop/manager/OracleManagerTest.java,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,4a689cf491ec805e60f401c8e81ab304aab4ee4f,7e3284691d91b614821c4c94172a49a1042f7e99,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,120e06f0a072e6145c908c56a25b8dca107b2b6f
8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,src/test/org/apache/hadoop/sqoop/manager/PostgresqlTest.java,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,b34b2acc10e0e1d6292918042daf534c9d0bab3a,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,120e06f0a072e6145c908c56a25b8dca107b2b6f,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6
681461461a7ddbd55ca4997760f36f3dd6410b38,src/java/org/apache/hadoop/sqoop/manager/SqlManager.java,681461461a7ddbd55ca4997760f36f3dd6410b38,12827a1765b71feaef77cb3a99fae272e1a91f3f,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,9afc7a8aee20568e3ac803d612074897386f4101,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,b34b2acc10e0e1d6292918042daf534c9d0bab3a,595bf13670b06d0261cf91560e056a3dcf1970b7,d427bca2de3e0e87573d01a90b14ca1ce4a2317c,dc191132a55fb130c8b503f53f95d7ecaafbfa2d
681461461a7ddbd55ca4997760f36f3dd6410b38,src/java/org/apache/hadoop/sqoop/mapreduce/DataDrivenImportJob.java,681461461a7ddbd55ca4997760f36f3dd6410b38,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,93dab4998eb947504d303e2cf06ce4ba526060eb,80714452373aea29632de8c0b0a64948f19bb211,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,d427bca2de3e0e87573d01a90b14ca1ce4a2317c
681461461a7ddbd55ca4997760f36f3dd6410b38,src/test/org/apache/hadoop/sqoop/manager/LocalMySQLTest.java,681461461a7ddbd55ca4997760f36f3dd6410b38,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,ec8f687d9743eb097449a57f2921cf4d3b308f54,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,b34b2acc10e0e1d6292918042daf534c9d0bab3a,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,120e06f0a072e6145c908c56a25b8dca107b2b6f
681461461a7ddbd55ca4997760f36f3dd6410b38,src/test/org/apache/hadoop/sqoop/manager/PostgresqlTest.java,681461461a7ddbd55ca4997760f36f3dd6410b38,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,b34b2acc10e0e1d6292918042daf534c9d0bab3a,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,120e06f0a072e6145c908c56a25b8dca107b2b6f
b74084196fce51859753f782f667c0b43d2599c7,src/java/org/apache/hadoop/sqoop/SqoopOptions.java,b74084196fce51859753f782f667c0b43d2599c7,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,ec8f687d9743eb097449a57f2921cf4d3b308f54,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010
b74084196fce51859753f782f667c0b43d2599c7,src/test/org/apache/hadoop/sqoop/manager/MySQLAuthTest.java,b74084196fce51859753f782f667c0b43d2599c7,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,4a689cf491ec805e60f401c8e81ab304aab4ee4f,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,120e06f0a072e6145c908c56a25b8dca107b2b6f,9dfc7ba898e6746ad595d4523f698c5dd45bb5d6
05929a73e5740e57f836ad6fd933b39470770db1,src/test/org/apache/hadoop/sqoop/SmokeTests.java,05929a73e5740e57f836ad6fd933b39470770db1,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,93dab4998eb947504d303e2cf06ce4ba526060eb,4a689cf491ec805e60f401c8e81ab304aab4ee4f,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,e7cf0ed69c3312b578056d82499a363d59d35b28,6cf87c5147feddfe9305cdc479a2f9be46b7ca59
e7a8e519f352ffca1fd1e91aaeb6eac2f554f3f5,src/java/org/apache/hadoop/sqoop/manager/SqlManager.java,e7a8e519f352ffca1fd1e91aaeb6eac2f554f3f5,681461461a7ddbd55ca4997760f36f3dd6410b38,12827a1765b71feaef77cb3a99fae272e1a91f3f,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,9afc7a8aee20568e3ac803d612074897386f4101,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,b34b2acc10e0e1d6292918042daf534c9d0bab3a,595bf13670b06d0261cf91560e056a3dcf1970b7,d427bca2de3e0e87573d01a90b14ca1ce4a2317c
e7a8e519f352ffca1fd1e91aaeb6eac2f554f3f5,src/test/org/apache/hadoop/sqoop/manager/OracleManagerTest.java,e7a8e519f352ffca1fd1e91aaeb6eac2f554f3f5,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,4a689cf491ec805e60f401c8e81ab304aab4ee4f,7e3284691d91b614821c4c94172a49a1042f7e99,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,6cf87c5147feddfe9305cdc479a2f9be46b7ca59,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010
69f04fff8b9489330b300a987c834ba08acbc9b4,src/java/org/apache/hadoop/sqoop/SqoopOptions.java,69f04fff8b9489330b300a987c834ba08acbc9b4,b74084196fce51859753f782f667c0b43d2599c7,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,ec8f687d9743eb097449a57f2921cf4d3b308f54,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed
69f04fff8b9489330b300a987c834ba08acbc9b4,src/java/org/apache/hadoop/sqoop/mapreduce/DataDrivenImportJob.java,69f04fff8b9489330b300a987c834ba08acbc9b4,681461461a7ddbd55ca4997760f36f3dd6410b38,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,93dab4998eb947504d303e2cf06ce4ba526060eb,80714452373aea29632de8c0b0a64948f19bb211,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,89241b591ad1c55394d7163d417c56f3f1b981f5,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed
69f04fff8b9489330b300a987c834ba08acbc9b4,src/test/org/apache/hadoop/sqoop/manager/MySQLAuthTest.java,69f04fff8b9489330b300a987c834ba08acbc9b4,b74084196fce51859753f782f667c0b43d2599c7,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,4a689cf491ec805e60f401c8e81ab304aab4ee4f,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,ecbb765019cea8da0887e290d69bb081f2282935,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,3c322c9969b4fe775803db91a52f3a5fd77eb010,120e06f0a072e6145c908c56a25b8dca107b2b6f
69f04fff8b9489330b300a987c834ba08acbc9b4,src/test/org/apache/hadoop/sqoop/testutil/ImportJobTestCase.java,69f04fff8b9489330b300a987c834ba08acbc9b4,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,4a689cf491ec805e60f401c8e81ab304aab4ee4f,7e3284691d91b614821c4c94172a49a1042f7e99,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,b34b2acc10e0e1d6292918042daf534c9d0bab3a,3d39962dfabe0b2876cf892dfa5591b7cf36a9ed,595bf13670b06d0261cf91560e056a3dcf1970b7,dc191132a55fb130c8b503f53f95d7ecaafbfa2d
de836d714a2e097b4893b977c90a6e076e8f8cfd,src/java/org/apache/hadoop/sqoop/SqoopOptions.java,de836d714a2e097b4893b977c90a6e076e8f8cfd,69f04fff8b9489330b300a987c834ba08acbc9b4,b74084196fce51859753f782f667c0b43d2599c7,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,ec8f687d9743eb097449a57f2921cf4d3b308f54,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,ecbb765019cea8da0887e290d69bb081f2282935
a625fd478cf888abce404ef4e5c55a85cdeb9eab,src/java/org/apache/hadoop/sqoop/SqoopOptions.java,a625fd478cf888abce404ef4e5c55a85cdeb9eab,de836d714a2e097b4893b977c90a6e076e8f8cfd,69f04fff8b9489330b300a987c834ba08acbc9b4,b74084196fce51859753f782f667c0b43d2599c7,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,ec8f687d9743eb097449a57f2921cf4d3b308f54,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb,37cadedc8fd99b6e592f69b743810c2bebb3a8ab
61d5da25005fc7febf0b24d532399f5da2485b57,src/java/org/apache/hadoop/sqoop/SqoopOptions.java,61d5da25005fc7febf0b24d532399f5da2485b57,a625fd478cf888abce404ef4e5c55a85cdeb9eab,de836d714a2e097b4893b977c90a6e076e8f8cfd,69f04fff8b9489330b300a987c834ba08acbc9b4,b74084196fce51859753f782f667c0b43d2599c7,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,ec8f687d9743eb097449a57f2921cf4d3b308f54,9afc7a8aee20568e3ac803d612074897386f4101,93dab4998eb947504d303e2cf06ce4ba526060eb
c5c613cb9260d21af6789f3e8c98a620f245844a,src/java/org/apache/hadoop/sqoop/Sqoop.java,c5c613cb9260d21af6789f3e8c98a620f245844a,a625fd478cf888abce404ef4e5c55a85cdeb9eab,de836d714a2e097b4893b977c90a6e076e8f8cfd,69f04fff8b9489330b300a987c834ba08acbc9b4,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,9afc7a8aee20568e3ac803d612074897386f4101,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,89241b591ad1c55394d7163d417c56f3f1b981f5,dc191132a55fb130c8b503f53f95d7ecaafbfa2d
c5c613cb9260d21af6789f3e8c98a620f245844a,src/java/org/apache/hadoop/sqoop/SqoopOptions.java,c5c613cb9260d21af6789f3e8c98a620f245844a,61d5da25005fc7febf0b24d532399f5da2485b57,a625fd478cf888abce404ef4e5c55a85cdeb9eab,de836d714a2e097b4893b977c90a6e076e8f8cfd,69f04fff8b9489330b300a987c834ba08acbc9b4,b74084196fce51859753f782f667c0b43d2599c7,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,ec8f687d9743eb097449a57f2921cf4d3b308f54,9afc7a8aee20568e3ac803d612074897386f4101
c5c613cb9260d21af6789f3e8c98a620f245844a,src/java/org/apache/hadoop/sqoop/manager/MySQLManager.java,c5c613cb9260d21af6789f3e8c98a620f245844a,b74084196fce51859753f782f667c0b43d2599c7,681461461a7ddbd55ca4997760f36f3dd6410b38,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,9afc7a8aee20568e3ac803d612074897386f4101,ecbb765019cea8da0887e290d69bb081f2282935,595bf13670b06d0261cf91560e056a3dcf1970b7,fad03388cffce7b3ea66d51e48850fcdf6e015a1,bf65299ba1769435915039b04b83bf93201a6597
